القطاع,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies
الإدارة العامة والدفاع؛ الضمان الاجتماعي الإلزامي,1,mid,0,,اللوتس منسوجات ش.م.م (17.19%) | القاهرة منسوجات ش.ذ.م.م (14.68%) | الإسكندرية منسوجات ش.ذ.م.م (13.56%) | النيل تجارة محدودة (12.14%) | الدلتا صلب محدودة (9.47%)
التشييد والبناء,1,high,0,,الأهرام تجارة ش.ذ.م.م (0.80%) | مصر تقنية ش.م.م (0.80%) | الإسكندرية صلب ش.م.م (0.79%) | الدلتا منسوجات ش.ذ.م.م (0.71%) | الدلتا كيماويات ش.م.م (0.70%)
التعدين واستغلال المحاجر,1,high,0,,مصر زراعة ذ.م.م (4.38%) | الإسكندرية بلاستيك ذ.م.م (3.82%) | حورس زراعة ش.ذ.م.م (3.82%) | النيل أغذية محدودة (3.64%) | اللوتس خدمات محدودة (3.27%)
التعليم,1,mid,0,,مصر لوجستيات ذ.م.م (3.17%) | القاهرة بلاستيك ش.ذ.م.م (3.14%) | الأهرام بلاستيك محدودة (2.41%) | الدلتا خدمات محدودة (2.28%) | حورس زراعة ذ.م.م (1.92%)
الزراعة والحراجة وصيد الأسماك,1,high,0,,النيل كيماويات ش.ذ.م.م (1.40%) | الإسكندرية منسوجات محدودة (1.15%) | الدلتا تجارة محدودة (1.05%) | الإسكندرية تجارة ذ.م.م (1.04%) | الأهرام كيماويات محدودة (0.86%)
الصحة البشرية والعمل الاجتماعي,1,high,0,,النيل صلب ذ.م.م (2.95%) | الإسكندرية تجارة محدودة (1.79%) | سيناء زراعة ذ.م.م (1.74%) | النيل كيماويات ذ.م.م (1.11%) | اللوتس منسوجات ش.م.م (1.09%)
الصناعة التحويلية,1,high,0,,القاهرة لوجستيات ذ.م.م (0.80%) | النيل بلاستيك محدودة (0.47%) | الدلتا منسوجات ش.ذ.م.م (0.46%) | حورس كيماويات ذ.م.م (0.46%) | الأهرام تقنية محدودة (0.45%)
الفنون والترفيه والتسلية,0,,0,,الأهرام كيماويات ذ.م.م (4.56%) | النيل صلب محدودة (4.54%) | الجيزة صلب ش.م.م (4.01%) | الإسكندرية خدمات محدودة (3.80%) | اللوتس زراعة ذ.م.م (3.76%)
المعلومات والاتصالات,1,high,0,,الجيزة صلب ش.م.م (2.15%) | الأهرام كيماويات ش.ذ.م.م (1.12%) | مصر بلاستيك ذ.م.م (1.04%) | القاهرة كيماويات محدودة (0.98%) | اللوتس منسوجات ش.ذ.م.م (0.94%)
النقل والتخزين,1,high,0,,الجيزة زراعة ذ.م.م (1.04%) | الأهرام تقنية ش.م.م (1.04%) | سيناء صلب محدودة (0.93%) | سيناء تقنية ذ.م.م (0.92%) | الأهرام زراعة ذ.م.م (0.78%)
تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,1,high,0,,الدلتا صلب ش.م.م (0.59%) | القاهرة منسوجات ذ.م.م (0.37%) | اللوتس زراعة ش.م.م (0.37%) | الأهرام تقنية ذ.م.م (0.33%) | الجيزة تجارة ش.م.م (0.33%)
