class_ar,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies,,,,,,,,
  أنشطة العمل الاجتماعي الأخرى دون إقامة,1,mid,0,,الإسكندرية كيماويات ذ.م.م (7.42%) | القاهرة لوجستيات محدودة (7.35%) | سيناء بلاستيك ش.ذ.م.م (5.98%) | الأهرام أغذية ش.ذ.م.م (5.74%) | النيل كيماويات ذ.م.م (5.64%),,,,0,82,,,
"  أنشطة العمل الاجتماعي دون إقامة، لكبار السن وذوي الإعاقة",1,mid,0,,النيل صلب ذ.م.م (21.15%) | اللوتس منسوجات ش.م.م (7.84%) | الإسكندرية تقنية ش.ذ.م.م (7.39%) | الأهرام بلاستيك محدودة (6.69%) | الأهرام لوجستيات ش.م.م (5.55%),,,,,,,,
  أنشطة المستشفيات,1,high,0,,الجيزة بلاستيك محدودة (9.47%) | القاهرة منسوجات ش.م.م (7.64%) | الإسكندرية منسوجات ش.م.م (6.83%) | سيناء لوجستيات محدودة (6.30%) | اللوتس تقنية ش.ذ.م.م (5.61%),,,,,,,,
  أنشطة المطاعم وخدمات الأطعمة المتنقلة,1,mid,0,,الأهرام زراعة ش.م.م (7.29%) | الدلتا تقنية محدودة (5.27%) | الدلتا تقنية ش.ذ.م.م (5.12%) | النيل زراعة محدودة (4.86%) | النيل منسوجات ش.م.م (4.55%),,,,,,,,
  أنشطة المعالجة وخدمات إدارة النفايات الأخرى,0,,1,high,النيل زراعة ش.م.م (34.67%) | الجيزة خدمات ش.م.م (14.96%) | اللوتس أغذية ذ.م.م (11.99%) | النيل خدمات ش.ذ.م.م (9.10%) | الأهرام تقنية ذ.م.م (8.94%),,,,,,,,
  أنشطة المكاتب الرئيسية,0,,0,,الإسكندرية صلب ش.ذ.م.م (8.12%) | الجيزة تقنية ش.ذ.م.م (7.97%) | الجيزة خدمات ذ.م.م (7.42%) | حورس أغذية ش.ذ.م.م (6.81%) | الجيزة خدمات ش.م.م (6.36%),,,,,,,,
  أنشطة تقديم الرعاية مع الإقامة لكبار السن والأشخاص ذوي الإعاقة,1,mid,0,,حورس تقنية محدودة (7.83%) | الدلتا تجارة محدودة (7.72%) | الأهرام بلاستيك ذ.م.م (7.42%) | الدلتا منسوجات ش.م.م (7.13%) | حورس كيماويات محدودة (6.46%),,,,,,,,
  أنشطة تقديم المشروبات,0,,0,,القاهرة زراعة ش.ذ.م.م (11.19%) | سيناء بلاستيك ذ.م.م (7.98%) | الجيزة تقنية ذ.م.م (6.10%) | اللوتس خدمات ش.م.م (5.71%) | اللوتس زراعة ذ.م.م (5.27%),,,,,,,,
  أنشطة خدمات نُظم الأمن,0,,0,,مصر أغذية محدودة (21.25%) | مصر لوجستيات ش.ذ.م.م (20.69%) | النيل أغذية ذ.م.م (10.90%) | مصر زراعة محدودة (10.78%) | النيل تجارة ش.م.م (7.39%),,,,,,,,
  أنشطة دعم الأعمال الأخرى للتعدين واستغلال المحاجر,0,,1,high,سيناء خدمات ش.م.م (27.16%) | حورس تقنية ش.ذ.م.م (23.79%) | القاهرة لوجستيات ش.ذ.م.م (20.32%) | حورس خدمات ش.ذ.م.م (16.95%) | مصر أغذية ش.م.م (11.78%),,,,,,,,
  أنشطة دعم التعليم,0,,1,mid,النيل تجارة ذ.م.م (11.62%) | النيل خدمات ش.ذ.م.م (9.09%) | الجيزة كيماويات ش.ذ.م.م (8.74%) | النيل خدمات ش.م.م (7.43%) | الدلتا خدمات ذ.م.م (7.39%),,,,,,,,
  أنشطة نشر التسجيلات الصوتية والموسيقى,0,,0,,سيناء خدمات ذ.م.م (13.93%) | حورس تجارة ش.م.م (11.73%) | الجيزة أغذية ش.ذ.م.م (11.10%) | الإسكندرية بلاستيك ش.ذ.م.م (11.08%) | الإسكندرية خدمات ش.م.م (9.75%),,,,,,,,
  أنشطة نقابات العمال,0,,1,mid,اللوتس صلب ش.ذ.م.م (16.29%) | سيناء أغذية ش.ذ.م.م (10.68%) | الأهرام خدمات ش.م.م (7.92%) | مصر خدمات ش.م.م (5.87%) | سيناء صلب محدودة (5.44%),,,,,,,,
  أنشطة وكالات التشغيل المؤقت,0,,0,,الجيزة أغذية ش.ذ.م.م (12.58%) | القاهرة أغذية محدودة (12.22%) | النيل كيماويات ش.ذ.م.م (9.35%) | القاهرة تقنية ذ.م.م (7.88%) | سيناء لوجستيات محدودة (7.83%),,,,,,,,
  إعادة التأمين,0,,1,mid,اللوتس خدمات ش.ذ.م.م (21.03%) | الدلتا كيماويات ش.ذ.م.م (18.76%) | الدلتا منسوجات ش.ذ.م.م (11.05%) | الإسكندرية تجارة ذ.م.م (9.37%) | سيناء أغذية ذ.م.م (8.47%),,,,,,,,
  إكثار النباتات,0,,0,,سيناء بلاستيك محدودة (21.63%) | الإسكندرية تقنية ش.ذ.م.م (20.28%) | مصر كيماويات ش.ذ.م.م (11.96%) | الجيزة خدمات ش.م.م (11.24%) | الدلتا منسوجات محدودة (10.66%),,,,,,,,
  إكمال المباني وتشطيبها,1,high,0,,مصر لوجستيات ذ.م.م (7.99%) | سيناء خدمات ش.م.م (6.24%) | سيناء لوجستيات ش.ذ.م.م (4.33%) | الإسكندرية تقنية ذ.م.م (4.16%) | الأهرام كيماويات محدودة (3.94%),,,,,,,,
  استخراج الغاز الطبيعي,1,mid,0,,حورس زراعة ش.م.م (32.18%) | مصر أغذية ذ.م.م (25.94%) | الإسكندرية تقنية ش.م.م (25.76%) | الأهرام لوجستيات ذ.م.م (10.58%) | اللوتس صلب ذ.م.م (3.03%),,,,,,,,
  استغلال المحاجر لاستخراج الأحجار والرمال والطَفل,0,,1,high,الجيزة صلب محدودة (26.11%) | الإسكندرية كيماويات ش.ذ.م.م (24.30%) | الأهرام أغذية ذ.م.م (22.13%) | القاهرة خدمات ش.ذ.م.م (14.20%) | الجيزة منسوجات محدودة (8.15%),,,,,,,,
  استنساخ وسائط الإعلام المسجَّلة,0,,0,,النيل خدمات ش.م.م (23.88%) | سيناء تجارة ش.ذ.م.م (18.40%) | القاهرة صلب ش.م.م (15.43%) | النيل بلاستيك ذ.م.م (6.40%) | سيناء زراعة محدودة (6.36%),,,,,,,,
  الأنشطة الأخرى في مجال صحة الإنسان,1,mid,0,,النيل كيماويات ذ.م.م (6.68%) | النيل زراعة محدودة (5.57%) | مصر تقنية ش.ذ.م.م (5.41%) | القاهرة تجارة ش.م.م (5.05%) | الأهرام تقنية ذ.م.م (4.71%),,,,,,,,
  الأنشطة الإبداعية والفنون وأنشطة الترفيه,0,,1,high,النيل صلب محدودة (36.32%) | حورس لوجستيات ش.م.م (13.06%) | الإسكندرية زراعة ذ.م.م (12.57%) | الإسكندرية خدمات محدودة (10.03%) | اللوتس خدمات ش.م.م (8.82%),,,,,,,,
  الأنشطة البيطرية,1,high,0,,القاهرة خدمات ذ.م.م (9.02%) | القاهرة لوجستيات ش.ذ.م.م (8.64%) | النيل منسوجات ش.م.م (6.91%) | سيناء لوجستيات ذ.م.م (6.75%) | الدلتا كيماويات ذ.م.م (5.55%),,,,,,,,
  الأنشطة العقارية على أساس رسوم أو عقود,1,very high,0,,الأهرام تجارة ش.ذ.م.م (2.97%) | النيل صلب ش.ذ.م.م (2.59%) | القاهرة بلاستيك ش.ذ.م.م (2.27%) | مصر منسوجات ذ.م.م (2.23%) | مصر صلب محدودة (2.03%),,,,,,,,
  الأنشطة العقارية في الممتلكات المملوكة أو المؤجّرة,1,mid,0,,الأهرام صلب ش.م.م (4.32%) | حورس خدمات ش.م.م (3.89%) | اللوتس تقنية محدودة (3.60%) | النيل بلاستيك ش.م.م (3.59%) | النيل لوجستيات ش.ذ.م.م (2.46%),,,,,,,,
  الأنشطة المتعلقة بخدمة وصيانة تجميل المواقع,0,,1,mid,الجيزة لوجستيات محدودة (26.86%) | الجيزة خدمات محدودة (18.99%) | اللوتس كيماويات ش.ذ.م.م (13.87%) | الدلتا زراعة ذ.م.م (10.87%) | اللوتس لوجستيات ش.ذ.م.م (6.52%),,,,,,,,
  الأنشطة المعمارية والهندسية والخدمات الاستشارية الفنية المتصلة بها,1,very high,0,,الجيزة أغذية محدودة (14.23%) | مصر منسوجات ذ.م.م (9.31%) | النيل صلب ش.م.م (9.19%) | الدلتا منسوجات محدودة (7.94%) | الإسكندرية لوجستيات محدودة (7.57%),,,,,,,,
  الأنشطة المهنية والعلمية والتقنية الأخرى غير المصنّفة في موضع آخر,0,,0,,القاهرة لوجستيات محدودة (11.24%) | مصر كيماويات ش.م.م (9.48%) | حورس لوجستيات محدودة (8.26%) | الإسكندرية خدمات ذ.م.م (8.03%) | حورس تقنية ش.ذ.م.م (6.86%),,,,,,,,
  الإذاعة الصوتية,0,,0,,الجيزة خدمات محدودة (20.81%) | الإسكندرية لوجستيات ذ.م.م (18.24%) | القاهرة لوجستيات ذ.م.م (10.93%) | القاهرة لوجستيات ش.ذ.م.م (10.75%) | الأهرام زراعة ش.ذ.م.م (10.59%),,,,,,,,
  الإعلان,0,,0,,الأهرام تقنية ش.م.م (9.15%) | النيل لوجستيات ش.م.م (7.13%) | الجيزة زراعة ش.ذ.م.م (6.45%) | الجيزة خدمات ش.ذ.م.م (6.43%) | الأهرام منسوجات ذ.م.م (6.12%),,,,,,,,
  الاتحادات الاحتكارية وصناديق الأموال والكيانات المالية المشابهة,1,mid,0,,مصر أغذية ش.م.م (17.30%) | اللوتس منسوجات ذ.م.م (15.78%) | الإسكندرية كيماويات محدودة (8.02%) | الدلتا منسوجات ش.م.م (7.88%) | حورس تجارة ذ.م.م (7.52%),,,,,,,,
  الاختبارات والتحاليل التقنية,1,mid,0,,الجيزة زراعة ش.م.م (8.46%) | اللوتس كيماويات ش.م.م (8.28%) | الدلتا منسوجات ش.م.م (7.35%) | مصر زراعة ش.ذ.م.م (7.04%) | اللوتس أغذية محدودة (5.87%),,,,,,,,
  البحث والتطوير التجريبي في مجال العلوم الاجتماعية والإنسانية,0,,0,,الدلتا لوجستيات محدودة (7.69%) | سيناء صلب ذ.م.م (7.64%) | الجيزة بلاستيك ذ.م.م (7.42%) | الإسكندرية منسوجات ش.م.م (7.21%) | مصر منسوجات ذ.م.م (6.92%),,,,,,,,
  البحث والتطوير التجريبي في مجالي العلوم الطبيعية والهندسة,1,mid,0,,حورس تقنية ش.ذ.م.م (8.96%) | الدلتا أغذية ش.ذ.م.م (7.55%) | حورس صلب ش.ذ.م.م (7.23%) | القاهرة تجارة ش.م.م (6.55%) | القاهرة أغذية ذ.م.م (6.23%),,,,,,,,
  البيع بالجملة نظير رسم أو على أساس عقد,1,mid,0,,الإسكندرية صلب محدودة (6.82%) | الأهرام كيماويات ش.م.م (6.14%) | النيل لوجستيات ش.ذ.م.م (5.49%) | حورس صلب ذ.م.م (5.23%) | الإسكندرية منسوجات ش.م.م (5.05%),,,,,,,,
  التعليم العالي,0,,1,high,اللوتس تقنية ذ.م.م (12.51%) | مصر تقنية ش.ذ.م.م (11.92%) | الدلتا تجارة ش.ذ.م.م (10.28%) | الأهرام خدمات ذ.م.م (9.81%) | النيل صلب ش.ذ.م.م (8.53%),,,,,,,,
  التعليم قبل الابتدائي والتعليم الابتدائي,0,,1,high,الجيزة تجارة محدودة (16.45%) | حورس زراعة ش.م.م (12.80%) | الدلتا زراعة ذ.م.م (12.29%) | الإسكندرية كيماويات ذ.م.م (7.71%) | الإسكندرية تقنية ش.م.م (7.26%),,,,,,,,
  الزراعة المختلطة,1,mid,0,,سيناء منسوجات محدودة (19.17%) | الجيزة تجارة ش.ذ.م.م (15.29%) | الأهرام بلاستيك ش.ذ.م.م (14.05%) | الجيزة كيماويات ش.م.م (11.89%) | مصر أغذية ذ.م.م (5.03%),,,,,,,,
  الصرف الصحي,0,,0,,الجيزة منسوجات ش.ذ.م.م (20.87%) | النيل تجارة ش.م.م (19.57%) | القاهرة صلب محدودة (11.64%) | النيل بلاستيك ش.م.م (11.36%) | النيل أغذية ذ.م.م (11.32%),,,,,,,,
  النقل الجوي للبضائع,0,,1,mid,الدلتا تقنية محدودة (11.36%) | الإسكندرية صلب محدودة (9.97%) | مصر كيماويات ش.م.م (9.44%) | اللوتس تقنية ش.ذ.م.م (9.18%) | الجيزة أغذية ش.م.م (7.70%),,,,,,,,
  النقل الجوي للركاب,0,,1,high,القاهرة لوجستيات ش.ذ.م.م (11.30%) | الأهرام أغذية ش.ذ.م.م (8.31%) | اللوتس تجارة ش.م.م (7.75%) | الدلتا منسوجات محدودة (7.75%) | اللوتس كيماويات ذ.م.م (7.17%),,,,,,,,
  بيع الأغذية والمشروبات والتبغ بالجملة,0,,0,,النيل كيماويات ش.م.م (5.92%) | مصر تجارة ش.م.م (5.91%) | الدلتا منسوجات محدودة (5.59%) | حورس لوجستيات ذ.م.م (5.24%) | الجيزة صلب ش.ذ.م.م (4.90%),,,,,,,,
  بيع المركبات ذات المحركات,0,,0,,سيناء تجارة محدودة (4.72%) | القاهرة تجارة ش.ذ.م.م (4.63%) | النيل صلب ش.م.م (4.41%) | الجيزة صلب ذ.م.م (4.38%) | مصر لوجستيات ش.ذ.م.م (4.35%),,,,,,,,
  بيع وصيانة وإصلاح الدراجات النارية وقطع غيارها وملحقاتها,1,mid,0,,النيل صلب محدودة (6.63%) | سيناء صلب ذ.م.م (4.67%) | الجيزة زراعة محدودة (4.63%) | سيناء لوجستيات ش.ذ.م.م (4.38%) | الدلتا أغذية محدودة (4.24%),,,,,,,,
  بيع وقود السيارات بالتجزئة في المتاجر المتخصصة,1,mid,1,mid,الأهرام زراعة ش.ذ.م.م (7.66%) | الدلتا تقنية محدودة (6.37%) | سيناء أغذية ش.م.م (4.45%) | حورس صلب ذ.م.م (3.88%) | سيناء تقنية ش.ذ.م.م (3.86%),,,,,,,,
  تأجير المركبات ذات المحرّكات,1,mid,1,mid,الإسكندرية صلب ذ.م.م (22.87%) | النيل صلب ش.ذ.م.م (14.58%) | الإسكندرية زراعة ذ.م.م (13.05%) | القاهرة تجارة محدودة (10.45%) | الدلتا تجارة ش.م.م (8.86%),,,,,,,,
"  تأجير منتجات الملكية الفكرية وما شابهها، فيما عدا الأعمال المحمية بحقوق النشر",0,,1,mid,الإسكندرية زراعة ذ.م.م (16.04%) | الجيزة صلب ش.ذ.م.م (15.82%) | الدلتا صلب ش.ذ.م.م (13.21%) | حورس أغذية ش.م.م (7.35%) | النيل خدمات ش.م.م (5.30%),,,,,,,,
  تجارة الجملة غير المتخصصة,1,very high,0,,الجيزة صلب محدودة (8.09%) | مصر خدمات ش.م.م (7.75%) | سيناء زراعة محدودة (6.85%) | اللوتس بلاستيك ش.ذ.م.م (5.43%) | النيل تجارة ش.م.م (5.08%),,,,,,,,
  تجارة المواد الخام الزراعية والحيوانات الحية بالجملة,0,,1,high,الأهرام منسوجات ش.ذ.م.م (4.97%) | النيل كيماويات ش.م.م (4.81%) | حورس لوجستيات ش.ذ.م.م (4.68%) | اللوتس كيماويات محدودة (4.35%) | الجيزة أغذية ذ.م.م (4.25%),,,,,,,,
  تجميع المياه ومعالجتها وتوصيلها,0,,0,,سيناء منسوجات ش.م.م (30.50%) | سيناء بلاستيك ش.م.م (27.79%) | الأهرام كيماويات محدودة (18.29%) | اللوتس خدمات ذ.م.م (12.60%) | الدلتا تجارة ش.م.م (8.09%),,,,,,,,
  تجهيز وحفظ السمك والقشريات والرخويات,1,mid,0,,الدلتا زراعة ش.ذ.م.م (20.34%) | اللوتس تجارة ش.ذ.م.م (14.74%) | سيناء صلب ش.م.م (11.98%) | مصر لوجستيات محدودة (9.71%) | حورس زراعة ش.ذ.م.م (8.58%),,,,,,,,
  تجهيز وحفظ الفاكهة والخضر,0,,1,high,النيل زراعة ش.ذ.م.م (20.83%) | حورس تجارة محدودة (17.50%) | مصر بلاستيك ش.ذ.م.م (15.67%) | سيناء زراعة ش.ذ.م.م (14.81%) | الإسكندرية تجارة محدودة (13.22%),,,,,,,,
  تركيب الآلات والمعدات الصناعية,0,,1,mid,حورس تقنية ش.ذ.م.م (33.38%) | القاهرة أغذية محدودة (22.33%) | الإسكندرية خدمات ذ.م.م (20.37%) | الجيزة بلاستيك ذ.م.م (12.26%) | مصر منسوجات محدودة (11.66%),,,,,,,,
  تشييد الطرق والسكك الحديد,1,very high,0,,الإسكندرية صلب ش.م.م (6.48%) | الدلتا كيماويات ش.م.م (5.79%) | مصر لوجستيات ذ.م.م (5.38%) | حورس أغذية ذ.م.م (3.76%) | الإسكندرية كيماويات محدودة (3.68%),,,,,,,,
  تشييد المباني,1,very high,0,,النيل خدمات ش.م.م (4.25%) | النيل بلاستيك ش.م.م (4.13%) | الجيزة تجارة ش.ذ.م.م (3.65%) | القاهرة منسوجات محدودة (3.57%) | القاهرة زراعة ش.ذ.م.م (3.49%),,,,,,,,
  تشييد مشاريع الخاصة بالمنافع,1,high,0,,مصر تقنية ش.م.م (6.16%) | اللوتس لوجستيات ذ.م.م (4.21%) | القاهرة منسوجات ش.م.م (4.16%) | الدلتا كيماويات ش.ذ.م.م (4.01%) | الجيزة لوجستيات محدودة (3.54%),,,,,,,,
  تعدين الفحم القاسي (الأنفراثيت),0,,1,mid,الجيزة لوجستيات محدودة (40.71%) | مصر منسوجات ذ.م.م (25.77%) | الجيزة تجارة ش.م.م (11.45%) | القاهرة بلاستيك محدودة (10.01%) | اللوتس زراعة ش.م.م (9.24%),,,,,,,,
  تعدين الليغنيت,0,,1,mid,حورس أغذية ش.ذ.م.م (28.28%) | سيناء صلب محدودة (16.71%) | مصر زراعة ش.م.م (13.07%) | اللوتس صلب ش.ذ.م.م (12.25%) | النيل تقنية ش.ذ.م.م (11.17%),,,,,,,,
  تعدين ركازات الحديد,0,,1,mid,حورس زراعة ش.ذ.م.م (59.09%) | مصر تجارة ذ.م.م (8.82%) | مصر تجارة ذ.م.م (8.45%) | الأهرام صلب ش.ذ.م.م (6.96%) | النيل تقنية ش.م.م (6.14%),,,,,,,,
  تمويل المعاشات التقاعدية,0,,0,,سيناء صلب ش.م.م (21.59%) | الأهرام منسوجات ش.ذ.م.م (19.47%) | الأهرام منسوجات محدودة (17.95%) | الجيزة خدمات ش.ذ.م.م (15.91%) | سيناء منسوجات ش.م.م (6.35%),,,,,,,,
  تنظيم المؤتمرات والمعارض التجارية,0,,1,mid,سيناء كيماويات ذ.م.م (21.02%) | الجيزة منسوجات ش.م.م (14.24%) | اللوتس خدمات محدودة (13.17%) | سيناء لوجستيات ذ.م.م (10.65%) | القاهرة صلب ذ.م.م (7.17%),,,,,,,,
  جمع منتجات الأحراج غير الخشبية,0,,0,,الإسكندرية تجارة ذ.م.م (13.25%) | مصر تجارة ش.م.م (9.62%) | سيناء أغذية ذ.م.م (8.26%) | حورس أغذية محدودة (8.11%) | اللوتس أغذية ذ.م.م (7.40%),,,,,,,,
  خدمات الحجز الأخرى والأنشطة المتصلة بها,0,,1,mid,النيل لوجستيات ش.ذ.م.م (14.60%) | النيل زراعة ش.ذ.م.م (14.04%) | القاهرة كيماويات ش.م.م (11.60%) | الجيزة تقنية ذ.م.م (10.98%) | اللوتس تقنية محدودة (10.54%),,,,,,,,
  زراعة الأحراج وأنشطة الحراجة الأخرى,0,,0,,اللوتس أغذية ذ.م.م (18.72%) | الأهرام أغذية ش.م.م (15.75%) | النيل تجارة محدودة (14.42%) | القاهرة خدمات ذ.م.م (11.94%) | القاهرة منسوجات ش.ذ.م.م (7.26%),,,,,,,,
  صيانة وإصلاح المركبات ذات المحركات,0,,1,mid,حورس منسوجات ش.م.م (5.10%) | اللوتس كيماويات ش.م.م (4.43%) | اللوتس لوجستيات ش.م.م (3.90%) | مصر كيماويات محدودة (3.87%) | القاهرة تقنية ش.م.م (3.80%),,,,,,,,
  صُناعة هياكل (أعمال تجهيز العربات) للمركبات ذات المحرّكات؛ صُنع المركبات المقطورة والمركبات نصف المقطورة,0,,1,mid,الجيزة تجارة ش.م.م (31.63%) | حورس لوجستيات ذ.م.م (20.79%) | الأهرام لوجستيات ذ.م.م (9.25%) | الجيزة زراعة ش.م.م (9.09%) | مصر بلاستيك ش.ذ.م.م (7.73%),,,,,,,,
  صُنع أدوات الرياضة,0,,1,mid,حورس منسوجات ش.ذ.م.م (23.09%) | حورس تقنية محدودة (20.67%) | الجيزة بلاستيك محدودة (11.54%) | سيناء تقنية ش.ذ.م.م (6.44%) | الدلتا منسوجات ذ.م.م (5.42%),,,,,,,,
  صُنع أصناف الفراء,0,,0,,الأهرام تقنية محدودة (35.87%) | سيناء تجارة ذ.م.م (16.41%) | النيل صلب ذ.م.م (14.96%) | الإسكندرية صلب ش.م.م (10.05%) | الإسكندرية بلاستيك ش.م.م (7.38%),,,,,,,,
  صُنع الآلات الموسيقية,0,,0,,الأهرام لوجستيات ذ.م.م (41.41%) | الجيزة كيماويات ش.ذ.م.م (25.32%) | سيناء زراعة محدودة (20.85%) | الجيزة صلب ش.ذ.م.م (6.43%) | الأهرام لوجستيات ش.ذ.م.م (4.57%),,,,,,,,
  صُنع الأثاث,1,mid,0,,اللوتس خدمات ذ.م.م (29.73%) | الأهرام لوجستيات ذ.م.م (19.34%) | سيناء أغذية ش.م.م (14.97%) | اللوتس خدمات ذ.م.م (14.30%) | مصر لوجستيات محدودة (4.45%),,,,,,,,
  صُنع الأحذية,0,,1,mid,الدلتا تجارة ذ.م.م (54.24%) | الجيزة منسوجات ش.ذ.م.م (21.25%) | الإسكندرية تقنية ذ.م.م (8.92%) | الإسكندرية خدمات ش.م.م (8.12%) | مصر زراعة ذ.م.م (4.23%),,,,,,,,
  صُنع الأدوات البصرية ومعدات التصوير الفوتوغرافي,1,mid,1,mid,القاهرة تقنية ش.م.م (34.38%) | الإسكندرية خدمات ذ.م.م (18.64%) | النيل منسوجات محدودة (7.12%) | الدلتا صلب ذ.م.م (6.48%) | سيناء أغذية محدودة (5.94%),,,,,,,,
  صُنع الأعلاف الحيوانية المحضَّرة,1,mid,1,mid,الأهرام أغذية ش.م.م (52.17%) | اللوتس لوجستيات ذ.م.م (22.43%) | اللوتس تجارة ذ.م.م (16.39%) | الإسكندرية كيماويات ش.م.م (3.67%) | الأهرام صلب محدودة (3.08%),,,,,,,,
  صُنع الألعاب واللعب,0,,1,mid,الدلتا تجارة ذ.م.م (40.95%) | القاهرة تقنية ش.ذ.م.م (17.86%) | الإسكندرية بلاستيك محدودة (13.08%) | الإسكندرية تقنية ش.م.م (7.61%) | الإسكندرية كيماويات ش.م.م (5.27%),,,,,,,,
  صُنع الحديد القاعدي والصلب,0,,0,,سيناء لوجستيات محدودة (28.71%) | اللوتس زراعة ش.م.م (15.71%) | الأهرام خدمات ش.م.م (14.08%) | الأهرام تقنية ش.ذ.م.م (13.12%) | اللوتس تقنية محدودة (11.02%),,,,,,,,
  صُنع الحواسيب والمعدات الملحقة,0,,1,high,حورس تقنية ش.ذ.م.م (18.36%) | النيل خدمات ش.م.م (16.87%) | حورس تقنية محدودة (12.21%) | سيناء بلاستيك ش.ذ.م.م (10.89%) | القاهرة تقنية محدودة (10.35%),,,,,,,,
  صُنع الزجاج والمنتجات الزجاجية,0,,0,,حورس تجارة ش.م.م (41.32%) | حورس تقنية ش.م.م (10.83%) | القاهرة تجارة محدودة (8.15%) | الجيزة تجارة محدودة (7.78%) | النيل تقنية ش.ذ.م.م (7.19%),,,,,,,,
  صُنع الزيوت والدهون النباتية والحيوانية,0,,0,,النيل بلاستيك ش.م.م (29.82%) | الأهرام كيماويات محدودة (23.98%) | سيناء زراعة ش.م.م (20.10%) | مصر كيماويات ش.ذ.م.م (10.02%) | الأهرام صلب ش.م.م (5.45%),,,,,,,,
