اسم_الشركة,السنة,القطاع,فئة_SME,score,size_mean,size_median,size_std,gap_to_size_mean,rank_within_size_segment,count_in_size_segment,percentile_within_size_segment
القاهرة منسوجات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.59,6.0215,5.955,0.7484,-0.4315,92,122,25.41
الإسكندرية صلب محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.55,6.0215,5.955,0.7484,-0.4715,93,122,24.18
مصر زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.55,6.0215,5.955,0.7484,-0.4715,93,122,24.18
مصر خدمات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.53,6.0215,5.955,0.7484,-0.4915,95,122,22.95
الإسكندرية بلاستيك ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.49,6.0215,5.955,0.7484,-0.5315,96,122,22.13
الجيزة لوجستيات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.47,6.0215,5.955,0.7484,-0.5515,97,122,20.9
الجيزة بلاستيك ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.47,6.0215,5.955,0.7484,-0.5515,97,122,20.9
القاهرة تجارة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.43,6.0215,5.955,0.7484,-0.5915,99,122,19.67
القاهرة زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.34,6.0215,5.955,0.7484,-0.6815,100,122,18.85
الأهرام تقنية محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.33,6.0215,5.955,0.7484,-0.6915,101,122,17.62
مصر خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.33,6.0215,5.955,0.7484,-0.6915,101,122,17.62
الجيزة منسوجات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.32,6.0215,5.955,0.7484,-0.7015,103,122,16.39
الجيزة زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.31,6.0215,5.955,0.7484,-0.7115,104,122,15.57
حورس زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.3,6.0215,5.955,0.7484,-0.7215,105,122,14.75
النيل صلب محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.27,6.0215,5.955,0.7484,-0.7515,106,122,13.93
الأهرام بلاستيك محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.24,6.0215,5.955,0.7484,-0.7815,107,122,13.11
الأهرام زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.19,6.0215,5.955,0.7484,-0.8315,108,122,12.3
الدلتا منسوجات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,5.09,6.0215,5.955,0.7484,-0.9315,109,122,11.48
حورس خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.05,6.0215,5.955,0.7484,-0.9715,110,122,10.25
الإسكندرية أغذية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.05,6.0215,5.955,0.7484,-0.9715,110,122,10.25
الدلتا صلب ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.04,6.0215,5.955,0.7484,-0.9815,112,122,9.02
الجيزة زراعة ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,5.02,6.0215,5.955,0.7484,-1.0015,113,122,8.2
الجيزة منسوجات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.98,6.0215,5.955,0.7484,-1.0415,114,122,7.38
حورس لوجستيات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.97,6.0215,5.955,0.7484,-1.0515,115,122,6.56
اللوتس تجارة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.92,6.0215,5.955,0.7484,-1.1015,116,122,5.74
سيناء صلب ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.9,6.0215,5.955,0.7484,-1.1215,117,122,4.51
اللوتس صلب ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.9,6.0215,5.955,0.7484,-1.1215,117,122,4.51
النيل خدمات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.83,6.0215,5.955,0.7484,-1.1915,119,122,3.28
الدلتا لوجستيات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.78,6.0215,5.955,0.7484,-1.2415,120,122,2.46
اللوتس كيماويات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,medium,4.58,6.0215,5.955,0.7484,-1.4415,121,122,1.64
حورس كيماويات محدودة,2021,أنشطة الإقامة وخدمات الطعام,medium,3.34,6.0215,5.955,0.7484,-2.6815,122,122,0.82
حورس منسوجات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,6.59,4.3684,4.31,0.8192,2.2216,1,192,100.0
مصر بلاستيك محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,6.22,4.3684,4.31,0.8192,1.8516,2,192,99.48
الأهرام كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,6.18,4.3684,4.31,0.8192,1.8116,3,192,98.96
الإسكندرية لوجستيات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,6.09,4.3684,4.31,0.8192,1.7216,4,192,98.44
الجيزة زراعة محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,6.05,4.3684,4.31,0.8192,1.6816,5,192,97.92
النيل كيماويات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,6.03,4.3684,4.31,0.8192,1.6616,6,192,97.4
القاهرة لوجستيات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,6.02,4.3684,4.31,0.8192,1.6516,7,192,96.88
اللوتس زراعة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.82,4.3684,4.31,0.8192,1.4516,8,192,96.35
الجيزة كيماويات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.74,4.3684,4.31,0.8192,1.3716,9,192,95.83
القاهرة خدمات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.72,4.3684,4.31,0.8192,1.3516,10,192,95.31
سيناء كيماويات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.68,4.3684,4.31,0.8192,1.3116,11,192,94.79
الأهرام كيماويات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.62,4.3684,4.31,0.8192,1.2516,12,192,94.27
الدلتا تجارة محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.59,4.3684,4.31,0.8192,1.2216,13,192,93.49
الأهرام خدمات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.59,4.3684,4.31,0.8192,1.2216,13,192,93.49
مصر كيماويات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.58,4.3684,4.31,0.8192,1.2116,15,192,92.71
سيناء بلاستيك محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.54,4.3684,4.31,0.8192,1.1716,16,192,91.93
الجيزة كيماويات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.54,4.3684,4.31,0.8192,1.1716,16,192,91.93
اللوتس صلب ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.53,4.3684,4.31,0.8192,1.1616,18,192,90.89
اللوتس كيماويات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.53,4.3684,4.31,0.8192,1.1616,18,192,90.89
الدلتا منسوجات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.48,4.3684,4.31,0.8192,1.1116,20,192,90.1
اللوتس كيماويات ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.47,4.3684,4.31,0.8192,1.1016,21,192,89.58
الدلتا زراعة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.46,4.3684,4.31,0.8192,1.0916,22,192,89.06
الإسكندرية تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.43,4.3684,4.31,0.8192,1.0616,23,192,88.54
الإسكندرية خدمات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.4,4.3684,4.31,0.8192,1.0316,24,192,88.02
الأهرام زراعة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.38,4.3684,4.31,0.8192,1.0116,25,192,87.5
اللوتس لوجستيات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.36,4.3684,4.31,0.8192,0.9916,26,192,86.98
القاهرة أغذية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.34,4.3684,4.31,0.8192,0.9716,27,192,86.46
مصر أغذية ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.31,4.3684,4.31,0.8192,0.9416,28,192,85.94
الأهرام لوجستيات ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.27,4.3684,4.31,0.8192,0.9016,30,192,84.9
الأهرام تقنية ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.27,4.3684,4.31,0.8192,0.9016,30,192,84.9
الجيزة بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.27,4.3684,4.31,0.8192,0.9016,30,192,84.9
مصر بلاستيك ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.25,4.3684,4.31,0.8192,0.8816,32,192,83.85
حورس تقنية ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.23,4.3684,4.31,0.8192,0.8616,33,192,83.07
حورس لوجستيات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.23,4.3684,4.31,0.8192,0.8616,33,192,83.07
الجيزة خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.21,4.3684,4.31,0.8192,0.8416,35,192,82.29
الدلتا زراعة ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.2,4.3684,4.31,0.8192,0.8316,36,192,81.51
الإسكندرية زراعة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.2,4.3684,4.31,0.8192,0.8316,36,192,81.51
القاهرة أغذية ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.19,4.3684,4.31,0.8192,0.8216,38,192,80.47
حورس صلب ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.19,4.3684,4.31,0.8192,0.8216,38,192,80.47
الدلتا صلب ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.18,4.3684,4.31,0.8192,0.8116,40,192,79.69
حورس بلاستيك ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.12,4.3684,4.31,0.8192,0.7516,41,192,78.91
الدلتا خدمات محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.12,4.3684,4.31,0.8192,0.7516,41,192,78.91
الدلتا صلب ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.08,4.3684,4.31,0.8192,0.7116,43,192,78.12
القاهرة خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.07,4.3684,4.31,0.8192,0.7016,44,192,77.34
الأهرام تجارة ش.ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.07,4.3684,4.31,0.8192,0.7016,44,192,77.34
حورس خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.06,4.3684,4.31,0.8192,0.6916,46,192,76.56
مصر بلاستيك ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.04,4.3684,4.31,0.8192,0.6716,47,192,76.04
الإسكندرية أغذية محدودة,2021,أنشطة الإقامة وخدمات الطعام,small,5.03,4.3684,4.31,0.8192,0.6616,48,192,75.52
الجيزة صلب ش.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.02,4.3684,4.31,0.8192,0.6516,49,192,74.74
حورس خدمات ذ.م.م,2021,أنشطة الإقامة وخدمات الطعام,small,5.02,4.3684,4.31,0.8192,0.6516,49,192,74.74
