sector_en,sector_ar,sector_code,division_ar,division_code,group_ar,group_code,class_en,class_ar,class_code
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A02,Gathering of non-wood forest products,  جمع منتجات الأحراج غير الخشبية,A0230
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A02,Support services to forestry, خدمات الدعم للحراجة,A0240
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A03,Marine fishing, صيد الأسماك البحرية,A0311
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A03,Freshwater fishing, صيد أسماك المياه العذبة,A0312
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A03,Marine aquaculture, تربية المائيات البحرية,A0321
"Agriculture, forestry and fishing",الزراعة والحراجة وصيد الأسماك,A,,A0,,A03,Freshwater aquaculture, تربية المائيات في المياه العذبة,A0322
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B05,Mining of hard coal,  تعدين الفحم القاسي (الأنفراثيت),B0510
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B05,Mining of lignite,  تعدين الليغنيت,B0520
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B06,Extraction of crude petroleum, استخراج النفط الخام,B0610
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B06,Extraction of natural gas,  استخراج الغاز الطبيعي,B0620
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B07,Mining of iron ores,  تعدين ركازات الحديد,B0710
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B07,Mining of uranium and thorium ores, تعدين ركازات اليورانيوم والثوريوم,B0721
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B07,Mining of other non-ferrous metal ores, تعدين ركازات الفلزات غير الحديدية الأخرى,B0729
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B08,"Quarrying of stone, sand and clay",  استغلال المحاجر لاستخراج الأحجار والرمال والطَفل,B0810
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B08,Mining of chemical and fertilizer minerals, تعدين المعادن الكيميائية ومعادن الأسمدة,B0891
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B08,Extraction of peat, استخراج الخث,B0892
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B08,Extraction of salt, استخراج الملح,B0893
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B08,Other mining and quarrying n.e.c., أنشطة التعدين واستغلال المحاجر غير المصنَّفة في موضع آخر,B0899
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B09,Support activities for petroleum and natural gas extraction,  أنشطة الدعم لاستخراج النفط والغاز الطبيعي,B0910
Mining and quarrying,التعدين واستغلال المحاجر,B,,B0,,B09,Support activities for other mining and quarrying,  أنشطة دعم الأعمال الأخرى للتعدين واستغلال المحاجر,B0990
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Processing and preserving of meat, تجهيز وحفظ اللحوم,C1010
Manufacturing,الصناعة التحويلية,C,,C1,,C10,"Processing and preserving of fish, crustaceans and molluscs",  تجهيز وحفظ السمك والقشريات والرخويات,C1020
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Processing and preserving of fruit and vegetables,  تجهيز وحفظ الفاكهة والخضر,C1030
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of vegetable and animal oils and fats,  صُنع الزيوت والدهون النباتية والحيوانية,C1040
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of dairy products, صُنع منتجات الألبان,C1050
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of grain mill products, صُنع منتجات طواحين الحبوب,C1061
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of starches and starch products, صُنع النشاء ومنتجات النشاء,C1062
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of bakery products, صُنع منتجات المخابز,C1071
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of sugar, صُنع السكر,C1072
Manufacturing,الصناعة التحويلية,C,,C1,,C10,"Manufacture of cocoa, chocolate and sugar confectionery", صُنع الكاكاو والشوكولاتة والحلويات السكرية,C1073
Manufacturing,الصناعة التحويلية,C,,C1,,C10,"Manufacture of macaroni, noodles, couscous and similar farinaceous products", صُنع المعكرونة وشرائط المعكرونة والكسكسي والمنتجات النشوية المماثلة,C1074
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of prepared meals and dishes, صُنع وجبات وأطباق جاهزة,C1075
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of other food products n.e.c., صُنع منتجات الأغذية الأخرى غير المصنَّفة في موضع آخر,C1079
Manufacturing,الصناعة التحويلية,C,,C1,,C10,Manufacture of prepared animal feeds,  صُنع الأعلاف الحيوانية المحضَّرة,C1080
Manufacturing,الصناعة التحويلية,C,,C1,,C11,"Distilling, rectifying and blending of spirits", تقطير المشروبات الروحية وتكريرها وخلطها,C1101
Manufacturing,الصناعة التحويلية,C,,C1,,C11,Manufacture of wines, صُنع الأنبذة,C1102
Manufacturing,الصناعة التحويلية,C,,C1,,C11,Manufacture of malt liquors and malt, صُنع المشروبات الكحولية من الشعير وصُنع مشروب الشعير,C1103
Manufacturing,الصناعة التحويلية,C,,C1,,C11,Manufacture of soft drinks; production of mineral waters and other bottled waters, صُنع المشروبات غير الكحولية؛ إنتاج المياه المعدنية والمياه الأخرى المعبأة في زجاجات,C1104
Manufacturing,الصناعة التحويلية,C,,C1,,C12,Manufacture of tobacco products,  صُنع منتجات التبغ,C1200
Manufacturing,الصناعة التحويلية,C,,C1,,C13,Preparation and spinning of textile fibres, تحضير وغزل ألياف المنسوجات,C1311
Manufacturing,الصناعة التحويلية,C,,C1,,C13,Weaving of textiles, نسج المنسوجات,C1312
Manufacturing,الصناعة التحويلية,C,,C1,,C13,Finishing of textiles, إتمام تجهيز المنسوجات,C1313
Manufacturing,الصناعة التحويلية,C,,C1,,C13,Manufacture of knitted and crocheted fabrics, صُنع الأقمشة المغزولة بصنارة (التريكو) وبإبرة معقوفة (الكروشيه),C1391
Manufacturing,الصناعة التحويلية,C,,C1,,C13,"Manufacture of made-up textile articles, except apparel", صُنع المنسوجات الجاهزة باستثناء الملبوسات,C1392
Manufacturing,الصناعة التحويلية,C,,C1,,C13,Manufacture of carpets and rugs, صُنع البُسط والسجاد,C1393
Manufacturing,الصناعة التحويلية,C,,C1,,C13,"Manufacture of cordage, rope, twine and netting", صُنع حبال السُفن والحبال من المجدولات القنبية والشباك,C1394
Manufacturing,الصناعة التحويلية,C,,C1,,C13,Manufacture of other textiles n.e.c., صُنع منسوجات أخرى غير مصنّفة في موضع آخر,C1399
Manufacturing,الصناعة التحويلية,C,,C1,,C14,"Manufacture of wearing apparel, except fur apparel",  صُنع الملبوسات باستثناء الملبوسات الفرائية,C1410
Manufacturing,الصناعة التحويلية,C,,C1,,C14,Manufacture of articles of fur,  صُنع أصناف الفراء,C1420
Manufacturing,الصناعة التحويلية,C,,C1,,C14,Manufacture of knitted and crocheted apparel,  صُنع الملبوسات من التريكو والكروشيه,C1430
Manufacturing,الصناعة التحويلية,C,,C1,,C15,Tanning and dressing of leather; dressing and dyeing of fur, دبغ وتهيئة الجلود؛ تهيئة وصبغ الفراء,C1511
Manufacturing,الصناعة التحويلية,C,,C1,,C15,"Manufacture of luggage, handbags and the like, saddlery and harness", صُنع حقائب الأمتعة وحقائب اليد وما شابهها، والسروج والأعنة,C1512
Manufacturing,الصناعة التحويلية,C,,C1,,C15,Manufacture of footwear,  صُنع الأحذية,C1520
Manufacturing,الصناعة التحويلية,C,,C1,,C16,Sawmilling and planing of wood,  نشر الخشب وسحجه,C1610
Manufacturing,الصناعة التحويلية,C,,C1,,C16,Manufacture of veneer sheets and wood-based panels, صُنع رقائق من قشرة الخشب والألواح المصنوعة من الخشب,C1621
Manufacturing,الصناعة التحويلية,C,,C1,,C16,Manufacture of builders' carpentry and joinery, صُنع منتجات ومشغولات النجارة اللازمة لعمال البناء,C1622
Manufacturing,الصناعة التحويلية,C,,C1,,C16,Manufacture of wooden containers, صُنع الأوعية الخشبية,C1623
Manufacturing,الصناعة التحويلية,C,,C1,,C16,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials", صُنع منتجات خشبية أخرى، صُنع أصناف الفلِّين والقش ومواد الضفر,C1629
Manufacturing,الصناعة التحويلية,C,,C1,,C17,"Manufacture of pulp, paper and paperboard", صُنع اللُباب والورق والورق المقوى,C1701
Manufacturing,الصناعة التحويلية,C,,C1,,C17,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard, صُنع الورق المموَّج والورق المقوى والأوعية المصنوعة من الورق والورق المقوى,C1702
Manufacturing,الصناعة التحويلية,C,,C1,,C17,Manufacture of other articles of paper and paperboard, صُنع أصناف أخرى من الورق والورق المقوى,C1709
Manufacturing,الصناعة التحويلية,C,,C1,,C18,Printing, الطباعة,C1811
Manufacturing,الصناعة التحويلية,C,,C1,,C18,Service activities related to printing, أنشطة الخدمات المتصلة بالطباعة,C1812
Manufacturing,الصناعة التحويلية,C,,C1,,C18,Reproduction of recorded media,  استنساخ وسائط الإعلام المسجَّلة,C1820
Manufacturing,الصناعة التحويلية,C,,C1,,C19,Manufacture of coke oven products,  صُنع منتجات أفران الكوك,C1910
Manufacturing,الصناعة التحويلية,C,,C1,,C19,Manufacture of refined petroleum products,  صُنع المنتجات النفطية المكررة,C1920
Manufacturing,الصناعة التحويلية,C,,C2,,C20,Manufacture of basic chemicals, صُنع المواد الكيميائية الأساسية,C2011
Manufacturing,الصناعة التحويلية,C,,C2,,C20,Manufacture of fertilizers and nitrogen compounds, صُنع الأسمدة والمركبات الأزوتية,C2012
Manufacturing,الصناعة التحويلية,C,,C2,,C20,Manufacture of plastics and synthetic rubber in primary forms, صُنع اللدائن والمطاط التركيبي في أشكالها الأوَّلية,C2013
Manufacturing,الصناعة التحويلية,C,,C2,,C20,Manufacture of pesticides and other agrochemical products, صُنع مبيدات الآفات والمنتجات الكيميائية الزراعية الأخرى,C2021
Manufacturing,الصناعة التحويلية,C,,C2,,C20,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics", صُنع الدهانات والورنيشات والطلاءات المماثلة، وأحبار الطباعة والمعاجين المستكية,C2022
Manufacturing,الصناعة التحويلية,C,,C2,,C20,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations", صُنع الصابون والمنظفات، ومستحضرات التنظيف والتلميع، العطور ومستحضرات التجميل,C2023
Manufacturing,الصناعة التحويلية,C,,C2,,C20,Manufacture of other chemical products n.e.c., صُنع المنتجات الكيميائية الأخرى غير المصنّفة في موضع آخر,C2029
Manufacturing,الصناعة التحويلية,C,,C2,,C20,Manufacture of man-made fibres, صُنع الألياف الاصطناعية,C2030
Manufacturing,الصناعة التحويلية,C,,C2,,C21,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",  صُنع المواد الصيدلانية والمنتجات الدوائية الكيميائية والنباتية,C2100
Manufacturing,الصناعة التحويلية,C,,C2,,C22,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres, صُنع الإطارات والأنابيب المطاطية؛ وتجديد الأسطح الخارجية للإطارات المطاطية وإعادة بنائها,C2211
Manufacturing,الصناعة التحويلية,C,,C2,,C22,Manufacture of other rubber products, صُنع المنتجات المطاطية الأخرى,C2219
Manufacturing,الصناعة التحويلية,C,,C2,,C22,Manufacture of plastics products, صُنع المنتجات اللدائنية,C2220
Manufacturing,الصناعة التحويلية,C,,C2,,C23,Manufacture of glass and glass products,  صُنع الزجاج والمنتجات الزجاجية,C2310
Manufacturing,الصناعة التحويلية,C,,C2,,C23,Manufacture of refractory products, صُنع المنتجات الحرارية,C2391
Manufacturing,الصناعة التحويلية,C,,C2,,C23,Manufacture of clay building materials, صُنع المنتجات الطفلية الإنشائية,C2392
Manufacturing,الصناعة التحويلية,C,,C2,,C23,Manufacture of other porcelain and ceramic products, صُنع المنتجات الأخرى من البورسلين والخزف,C2393
Manufacturing,الصناعة التحويلية,C,,C2,,C23,"Manufacture of cement, lime and plaster", صُنع الأسمنت ومنتجات صُلب نصف جاهزة,C2394
Manufacturing,الصناعة التحويلية,C,,C2,,C23,"Manufacture of articles of concrete, cement and plaster", صُنع أصناف من الخرسانة والأسمنت والجص,C2395
Manufacturing,الصناعة التحويلية,C,,C2,,C23,"Cutting, shaping and finishing of stone", قطع وتشكيل وصقل الأحجار,C2396
Manufacturing,الصناعة التحويلية,C,,C2,,C23,Manufacture of other non-metallic mineral products n.e.c., صُنع المنتجات المعدنية اللافلزية الأخرى غير المصنّفة في موضع آخر,C2399
Manufacturing,الصناعة التحويلية,C,,C2,,C24,Manufacture of basic iron and steel,  صُنع الحديد القاعدي والصلب,C2410
Manufacturing,الصناعة التحويلية,C,,C2,,C24,Manufacture of basic precious and other non-ferrous metals,  صُنع الفلزّات الثمينة وغير الحديدية القاعدية,C2420
Manufacturing,الصناعة التحويلية,C,,C2,,C24,Casting of iron and steel, سبك الحديد والصلب,C2431
Manufacturing,الصناعة التحويلية,C,,C2,,C24,Casting of non-ferrous metals, سبك المعادن غير الحديدية,C2432
Manufacturing,الصناعة التحويلية,C,,C2,,C25,Manufacture of structural metal products, صُنع المنتجات المعدنية الإنشائية,C2511
Manufacturing,الصناعة التحويلية,C,,C2,,C25,"Manufacture of tanks, reservoirs and containers of metal", صُنع الصهاريج والخزانات والأوعية من المعادن,C2512
Manufacturing,الصناعة التحويلية,C,,C2,,C25,"Manufacture of steam generators, except central heating hot water boilers", صُنع مولِّدات البخار، باستثناء مراجل التدفئة المركزية بالمياه الساخنة,C2513
Manufacturing,الصناعة التحويلية,C,,C2,,C25,Manufacture of weapons and ammunition, صُنع الأسلحة والذخائر,C2520
Manufacturing,الصناعة التحويلية,C,,C2,,C25,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy", تشكيل المعادن بالطرق والكبس والسبك والدلفنة؛ ميتالورجيا المساحيق,C2591
Manufacturing,الصناعة التحويلية,C,,C2,,C25,Treatment and coating of metals; machining, معالجة وطلي المعادن؛ المعالجة بالآلات,C2592
Manufacturing,الصناعة التحويلية,C,,C2,,C25,"Manufacture of cutlery, hand tools and general hardware", صُنع أدوات القطع والعُدد اليدوية والأدوات المعدنية العامة,C2593
Manufacturing,الصناعة التحويلية,C,,C2,,C25,Manufacture of other fabricated metal products n.e.c., صُنع منتجات المعادن المشكَّلة الأخرى غير المصنّفة في موضع آخر,C2599
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of electronic components and boards,  صُنع المكونات واللوحات الإلكترونية,C2610
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of computers and peripheral equipment,  صُنع الحواسيب والمعدات الملحقة,C2620
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of communication equipment,  صُنع معدات الاتصالات,C2630
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of consumer electronics, صُنع الإلكترونيات الاستهلاكية,C2640
Manufacturing,الصناعة التحويلية,C,,C2,,C26,"Manufacture of measuring, testing, navigating and control equipment", صُنع معدات القياس والاختبار والملاحة والتحكُّم,C2651
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of watches and clocks, صُنع الساعات بأنواعها )وآليات تحديد التوقيتات(,C2652
Manufacturing,الصناعة التحويلية,C,,C2,,C26,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",  صُنع معدات التشعيع والمعدات الكهربائية الطبية والعلاجية,C2660
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of optical instruments and photographic equipment,  صُنع الأدوات البصرية ومعدات التصوير الفوتوغرافي,C2670
Manufacturing,الصناعة التحويلية,C,,C2,,C26,Manufacture of magnetic and optical media,  صُنع الوسائط المغناطيسية والبصرية,C2680
Manufacturing,الصناعة التحويلية,C,,C2,,C27,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",  صُنع المحركات والمولِّدات والمحولات الكهربائية وأجهزة توزيع الكهرباء والتحكُّم فيها,C2710
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of batteries and accumulators, صُنع البطاريات والمراكم,C2720
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of fibre optic cables, صُنع كابلات الألياف البصرية,C2731
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of other electronic and electric wires and cables, صُنع الأسلاك والكابلات الإلكترونية والكهربائية الأخرى,C2732
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of wiring devices, صُنع أجهزة الأسلاك,C2733
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of electric lighting equipment,  صُنع معدات الإضاءة الكهربائية,C2740
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of domestic appliances, صُنع الأجهزة الكهربائية المنزلية,C2750
Manufacturing,الصناعة التحويلية,C,,C2,,C27,Manufacture of other electrical equipment,  صُنع المعدات الكهربائية الأخرى,C2790
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines", صُنع المحرّكات والتوربينات، باستثناء محرّكات الطائرات والسيارات والدرّاجات النارية,C2811
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of fluid power equipment, صُنع معدات تعمل بطاقة الموائع,C2812
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of other pumps, compressors, taps and valves", صُنع المضخات والضواغط والصنابير والصمامات الأخرى,C2813
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of bearings, gears, gearing and driving elements", صُنع المحامل والتروس وعناصر أجهزة التعشيق ونقل الحركة,C2814
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of ovens, furnaces and furnace burners", صُنع الأفران وأفران الصهر ومواقد أفران الصهر,C2815
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of lifting and handling equipment, صُنع معدات الرفع والمناولة,C2816
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of office machinery and equipment (except computers and peripheral equipment), صُنع الآلات والمعدات المكتبية )باستثناء الحواسيب والمعدات الملحقة بها(,C2817
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of power-driven hand tools, صُنع العُدد اليدوية التي تعمل بالطاقة,C2818
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of other general-purpose machinery, صُنع الآلات الأخرى متعددة الأغراض,C2819
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of agricultural and forestry machinery, صناعة الآلات الزراعية وآلات الحراجة,C2821
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of metal-forming machinery and machine tools, صُنع آلات تشكيل المعادن والعدد الآلية,C2822
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of machinery for metallurgy, صُنع آلات تستعمل في الميتالورجيا,C2823
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of machinery for mining, quarrying and construction", صُنع آلات لعمليات التعدين واستغلال المحاجر والتشييد,C2824
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of machinery for food, beverage and tobacco processing", صُنع آلات تجهيز الأغذية والمشروبات والتبغ,C2825
Manufacturing,الصناعة التحويلية,C,,C2,,C28,"Manufacture of machinery for textile, apparel and leather production", صُنع آلات إنتاج المنسوجات والملبوسات والجلود,C2826
Manufacturing,الصناعة التحويلية,C,,C2,,C28,Manufacture of other special-purpose machinery, صُنع آلات أخرى لأغراض خاصة,C2829
Manufacturing,الصناعة التحويلية,C,,C2,,C29,Manufacture of motor vehicles,  صُنع المركبات ذات المحركات,C2910
Manufacturing,الصناعة التحويلية,C,,C2,,C29,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,  صُناعة هياكل (أعمال تجهيز العربات) للمركبات ذات المحرّكات؛ صُنع المركبات المقطورة والمركبات نصف المقطورة,C2920
Manufacturing,الصناعة التحويلية,C,,C2,,C29,Manufacture of parts and accessories for motor vehicles, صُنع أجزاء وتوابع ومحرّكات المركبات ذات المحرّكات,C2930
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Building of ships and floating structures, بناء السفن والمنشآت العائمة,C3011
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Building of pleasure and sporting boats, بناء قوارب النزهة والرياضة,C3012
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Manufacture of railway locomotives and rolling stock,  صُنع قاطرات (جرّارات) وعربات السكك الحديدية,C3020
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Manufacture of air and spacecraft and related machinery,  صُنع المركبات الجوية والفضائية والآلات المتصلة بها,C3030
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Manufacture of military fighting vehicles,  صُنع مركبات القتال العسكرية,C3040
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Manufacture of motorcycles, صُنع الدرّاجات النارية,C3091
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Manufacture of bicycles and invalid carriages, صُنع الدرّاجات العادية والكراسي المتحركة,C3092
Manufacturing,الصناعة التحويلية,C,,C3,,C30,Manufacture of other transport equipment n.e.c., صُنع معدات النقل الأخرى غير المصنّفة في موضع آخر,C3099
Manufacturing,الصناعة التحويلية,C,,C3,,C31,Manufacture of furniture,  صُنع الأثاث,C3100
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Manufacture of jewellery and related articles, صُنع المجوهرات والأصناف المتصلة,C3211
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Manufacture of imitation jewellery and related articles, صُنع المجوهرات المقلَّدة والأصناف ذات الصلة,C3212
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Manufacture of musical instruments,  صُنع الآلات الموسيقية,C3220
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Manufacture of sports goods,  صُنع أدوات الرياضة,C3230
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Manufacture of games and toys,  صُنع الألعاب واللعب,C3240
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Manufacture of medical and dental instruments and supplies, صُنع الأدوات والمستلزمات الطبية والتي تستخدم في علاج الأسنان,C3250
Manufacturing,الصناعة التحويلية,C,,C3,,C32,Other manufacturing n.e.c., صُنع منتجات أخرى غير مصنّفة في موضع آخر,C3290
Manufacturing,الصناعة التحويلية,C,,C3,,C33,Repair of fabricated metal products, إصلاح منتجات المعادن المشكَّلة,C3311
