tax_id,name,isic_section,sector,isic_class,is_industrial,start_year,close_year,paid_in_capital_egp,sme_tier_init,isic_class_name_en
EG5921501718,Nile Logistics Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4690,0,2018,2030,2594053.0,small,Non-specialized wholesale trade
EG1688696034,Cairo Textiles Ltd.,Q,Human health and social work activities,Q8610,0,2023,10000,2499319.0,small,Hospital activities
EG3698862613,Nile Agri Ltd.,A,"Agriculture, forestry and fishing",A0146,1,2014,10000,2861828.0,small,Raising of poultry
EG7226693000,Pyramid Tech SAE,A,"Agriculture, forestry and fishing",A0150,1,2008,2014,11950124.0,medium,Mixed farming
EG5723079548,Horus Steel Ltd.,C,Manufacturing,C2733,1,2016,10000,6086610.0,medium,Manufacture of wiring devices
EG4705998189,Nile Chem Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4719,0,2010,10000,1542061.0,small,Other retail sale in non-specialized stores
EG7309538116,Alex Chem LLC,N,Administrative and support service activities,N8129,0,2021,10000,1844532.0,small,Other building and industrial cleaning activities
EG5904210358,Delta Trading Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4711,0,2018,10000,1733149.0,small,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
EG3577675335,Cairo Trading Co.,I,Accommodation and food service activities,I5629,0,2012,10000,4998823.0,medium,Other food service activities
EG2931782720,Cairo Tech SAE,A,"Agriculture, forestry and fishing",A0125,1,2007,2020,4767949.0,small,Growing of other tree and bush fruits and nuts
EG9886841401,Misr Steel SAE,C,Manufacturing,C1709,1,2016,10000,11155584.0,medium,Manufacture of other articles of paper and paperboard
EG7017164310,Lotus Foods SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4520,0,2005,10000,544188.0,small,Maintenance and repair of motor vehicles
EG5482436481,Cairo Logistics LLC,H,Transportation and storage,H5310,0,2008,10000,3722534.0,medium,Postal activities
EG4485367885,Sinai Tech Ltd.,K,Financial and insurance activities,K6419,0,2009,2010,4800207.0,medium,Other monetary intermediation
EG9387376922,Nile Tech LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4773,0,2015,10000,2457631.0,small,Other retail sale of new goods in specialized stores
EG1611211787,Cairo Plastics Ltd.,F,Construction,F4329,1,2016,10000,5152864.0,medium,Other construction installation
EG7015939917,Horus Trading LLC,C,Manufacturing,C1101,1,2014,10000,14541293.0,medium,"Distilling, rectifying and blending of spirits"
EG3670249226,Lotus Steel Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4761,0,2008,2020,2391427.0,small,"Retail sale of books, newspapers and stationary in specialized stores"
EG4809427660,Cairo Chem Ltd.,F,Construction,F4312,1,2019,2024,13033159.0,medium,Site preparation
EG4985459057,Delta Tech LLC,K,Financial and insurance activities,K6419,0,2012,2024,536185.0,small,Other monetary intermediation
EG3917717050,Misr Plastics LLC,P,Education,P8541,0,2005,10000,1918979.0,small,Sports and recreation education
EG4946327005,Misr Agri Ltd.,M,"Professional, scientific and technical activities",M7420,0,2014,10000,4267747.0,medium,Photographic activities
EG4170684131,Sinai Tech Co.,C,Manufacturing,C1104,1,2010,10000,13325701.0,medium,Manufacture of soft drinks; production of mineral waters and other bottled waters
EG9871759223,Cairo Trading LLC,L,Real estate activities,L6810,0,2018,10000,3302201.0,medium,Real estate activities with own or leased property
EG2537346625,Cairo Agri Ltd.,A,"Agriculture, forestry and fishing",A0230,1,2009,10000,307134.0,small,Gathering of non-wood forest products
EG5753826736,Misr Steel Co.,C,Manufacturing,C3314,1,2018,10000,1208933.0,small,Repair of electrical equipment
EG9156266331,Pyramid Trading SAE,J,Information and communication,J6312,0,2006,10000,1409597.0,small,Web portals
EG7793163450,Horus Trading SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4661,0,2013,10000,3926335.0,medium,"Wholesale of solid, liquid and gaseous fuels and related products"
EG5373724014,Delta Trading SAE,M,"Professional, scientific and technical activities",M6920,0,2014,2018,4245799.0,medium,"Accounting, bookkeeping and auditing activities; tax consultancy"
EG4644302823,Sinai Agri LLC,J,Information and communication,J6110,0,2019,10000,1207571.0,small,Wired telecommunications activities
EG4387504459,Delta Logistics SAE,I,Accommodation and food service activities,I5621,0,2011,10000,4254859.0,medium,Event catering
EG4920061521,Giza Services LLC,H,Transportation and storage,H5222,0,2011,10000,4719089.0,medium,Service activities incidental to water transportation
EG9673702443,Pyramid Tech LLC,Q,Human health and social work activities,Q8690,0,2006,10000,3440959.0,medium,Other human health activities
EG6443237951,Cairo Plastics LLC,M,"Professional, scientific and technical activities",M7420,0,2009,10000,1524609.0,small,Photographic activities
EG6048186956,Sinai Foods LLC,A,"Agriculture, forestry and fishing",A0125,1,2016,10000,12943591.0,medium,Growing of other tree and bush fruits and nuts
EG1816500465,Misr Agri Co.,S,Other service activities,S9521,0,2009,10000,4999468.0,medium,Repair of consumer electronics
EG3843027102,Horus Chem SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4520,0,2012,2015,1897283.0,small,Maintenance and repair of motor vehicles
EG2396484261,Giza Chem LLC,F,Construction,F4322,1,2024,2034,13063045.0,medium,"Plumbing, heat and air-conditioning installation"
EG9464796987,Sinai Trading SAE,N,Administrative and support service activities,N7912,0,2013,10000,2187653.0,small,Tour operator activities
EG9751938934,Lotus Trading Co.,Q,Human health and social work activities,Q8790,0,2019,10000,4300021.0,medium,Other residential care activities
EG5718267146,Cairo Textiles SAE,L,Real estate activities,L6810,0,2019,10000,4810221.0,medium,Real estate activities with own or leased property
EG6119673874,Pyramid Services SAE,J,Information and communication,J5819,0,2013,10000,3484207.0,medium,Other publishing activities
EG1049523605,Giza Foods Co.,A,"Agriculture, forestry and fishing",A0230,1,2023,2024,1056828.0,small,Gathering of non-wood forest products
EG2983466175,Lotus Steel Co.,F,Construction,F4390,1,2016,10000,14006730.0,medium,Other specialized construction activities
EG7236976781,Cairo Trading Ltd.,M,"Professional, scientific and technical activities",M7010,0,2021,10000,1439164.0,small,Activities of head offices
EG1094890170,Sinai Tech Co.,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T9820,0,2012,10000,1036391.0,small,Undifferentiated service-producing activities of private households for own use
EG5273058998,Alex Steel Ltd.,F,Construction,F4210,1,2010,10000,8808310.0,medium,Construction of roads and railways
EG4104698946,Nile Textiles SAE,K,Financial and insurance activities,K6621,0,2017,2024,1970670.0,small,Risk and damage evaluation
EG3854348462,Cairo Foods SAE,C,Manufacturing,C1074,1,2022,10000,11387048.0,medium,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
EG1363986746,Sinai Textiles Co.,K,Financial and insurance activities,K6420,0,2010,10000,170772.0,small,Activities of holding companies
EG9057353523,Horus Services Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4711,0,2019,10000,2610076.0,small,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
EG4189290750,Cairo Logistics Ltd.,C,Manufacturing,C2731,1,2009,10000,14317527.0,medium,Manufacture of fibre optic cables
EG4014053579,Lotus Tech Co.,C,Manufacturing,C2610,1,2006,10000,7365178.0,medium,Manufacture of electronic components and boards
EG1682730546,Nile Tech SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4663,0,2015,10000,1375100.0,small,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
EG2669664457,Sinai Foods Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4659,0,2009,10000,3073734.0,medium,Wholesale of other machinery and equipment
EG5479149701,Pyramid Tech SAE,J,Information and communication,J5819,0,2006,10000,2020706.0,small,Other publishing activities
EG3431544920,Cairo Logistics SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4663,0,2020,10000,4519585.0,medium,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
EG6221530471,Horus Trading LLC,H,Transportation and storage,H5210,0,2017,10000,4735731.0,medium,Warehousing and storage
EG8360081358,Cairo Foods SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4520,0,2014,2028,3915920.0,medium,Maintenance and repair of motor vehicles
EG6295753142,Misr Chem LLC,L,Real estate activities,L6820,0,2015,2022,1378720.0,small,Real estate activities on a fee or contract basis
EG2199164804,Nile Chem LLC,A,"Agriculture, forestry and fishing",A0311,1,2024,10000,3385788.0,small,Marine fishing
EG8434849720,Sinai Logistics Ltd.,H,Transportation and storage,H4930,0,2010,10000,4909163.0,medium,Transport via pipeline
EG4887317988,Giza Services LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4782,0,2009,10000,2403736.0,small,"Retail sale via stalls and markets of textiles, clothing and footwear"
EG4974367578,Lotus Services Co.,B,Mining and quarrying,B0610,1,2010,10000,5658891.0,medium,Extraction of crude petroleum
EG2922127287,Cairo Trading SAE,L,Real estate activities,L6820,0,2022,10000,3202801.0,medium,Real estate activities on a fee or contract basis
EG9124214107,Alex Logistics LLC,H,Transportation and storage,H5221,0,2016,10000,3408847.0,medium,Service activities incidental to land transportation
EG5948006857,Pyramid Services Co.,S,Other service activities,S9492,0,2015,2019,4132962.0,medium,Activities of political organizations
EG6500396926,Misr Textiles Co.,C,Manufacturing,C3040,1,2012,2013,2222471.0,small,Manufacture of military fighting vehicles
EG6718659810,Alex Logistics Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4723,0,2005,10000,2499741.0,small,Retail sale of tobacco products in specialized stores
EG3390918451,Horus Chem SAE,N,Administrative and support service activities,N8110,0,2019,10000,1612374.0,small,Combined facilities support activities
EG8284566544,Cairo Plastics Ltd.,R,"Arts, entertainment and recreation",R9312,0,2010,10000,694333.0,small,Activities of sports clubs
EG6872952263,Pyramid Chem LLC,J,Information and communication,J5819,0,2024,10000,3621887.0,medium,Other publishing activities
EG1874991344,Misr Chem LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4764,0,2016,10000,3385391.0,medium,Retail sale of games and toys in specialized stores
EG4030493881,Pyramid Agri Ltd.,K,Financial and insurance activities,K6511,0,2019,10000,4975833.0,medium,Life insurance
EG9147669390,Pyramid Foods LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4530,0,2011,2013,814948.0,small,Sale of motor vehicle parts and accessories
EG6117359769,Sinai Services Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4520,0,2006,10000,3440202.0,medium,Maintenance and repair of motor vehicles
EG4920105667,Horus Tech SAE,I,Accommodation and food service activities,I5610,0,2007,2010,1419196.0,small,Restaurants and mobile food service activities
EG4274397084,Misr Steel LLC,Q,Human health and social work activities,Q8890,0,2007,10000,4286109.0,medium,Other social work activities without accommodation
EG8723700024,Alex Services LLC,A,"Agriculture, forestry and fishing",A0149,1,2015,10000,1185926.0,small,Raising of other animals
EG4910779447,Cairo Chem Co.,J,Information and communication,J6120,0,2013,10000,1626269.0,small,Wireless telecommunications activities
EG1404711780,Misr Trading LLC,Q,Human health and social work activities,Q8710,0,2009,10000,2751253.0,small,Residential nursing care facilities
EG9627781194,Horus Steel SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4662,0,2020,10000,3880134.0,medium,Wholesale of metals and metal ores
EG9096343575,Delta Agri LLC,F,Construction,F4290,1,2009,2023,11882057.0,medium,Construction of other civil engineering projects
EG9794494397,Lotus Trading Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4772,0,2019,10000,4884542.0,medium,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
EG9259425397,Pyramid Tech LLC,A,"Agriculture, forestry and fishing",A0150,1,2017,10000,4693613.0,small,Mixed farming
EG7312173107,Delta Plastics Ltd.,M,"Professional, scientific and technical activities",M7320,0,2021,10000,372238.0,small,Market research and public opinion polling
EG7545528400,Cairo Textiles Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4752,0,2015,10000,4342799.0,medium,"Retail sale of hardware, paints and glass in specialized stores"
EG3237815537,Alex Logistics SAE,I,Accommodation and food service activities,I5629,0,2014,10000,1047780.0,small,Other food service activities
EG3151916399,Delta Foods Ltd.,L,Real estate activities,L6810,0,2010,10000,672558.0,small,Real estate activities with own or leased property
EG7156980063,Sinai Textiles Co.,A,"Agriculture, forestry and fishing",A0122,1,2024,10000,3624850.0,small,Growing of tropical and subtropical fruits
EG7597392530,Alex Services SAE,C,Manufacturing,C2670,1,2012,10000,14960538.0,medium,Manufacture of optical instruments and photographic equipment
EG5952439161,Misr Plastics LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4764,0,2023,10000,4403601.0,medium,Retail sale of games and toys in specialized stores
EG3869325655,Giza Textiles SAE,H,Transportation and storage,H5310,0,2015,10000,525067.0,small,Postal activities
EG1340995339,Lotus Steel SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4520,0,2023,10000,1275440.0,small,Maintenance and repair of motor vehicles
EG4385716688,Nile Tech SAE,F,Construction,F4321,1,2023,10000,954470.0,small,Electrical installation
EG2634083679,Cairo Chem Co.,A,"Agriculture, forestry and fishing",A0111,1,2020,10000,4698797.0,small,"Growing of cereals (except rice), leguminous crops and oil seeds"
EG2740388616,Lotus Tech LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4730,0,2022,10000,2322638.0,small,Retail sale of automotive fuel in specialized stores
EG3969290496,Sinai Services Ltd.,R,"Arts, entertainment and recreation",R9101,0,2008,2011,3631648.0,medium,Library and archives activities
EG6333703928,Nile Trading LLC,A,"Agriculture, forestry and fishing",A0149,1,2015,10000,14054240.0,medium,Raising of other animals
EG8425870449,Giza Logistics Ltd.,H,Transportation and storage,H5011,0,2016,10000,1445235.0,small,Sea and coastal passenger water transport
EG8358314161,Lotus Chem LLC,D,"Electricity, gas, steam and air conditioning supply",D3510,1,2009,10000,3997172.0,small,"Electric power generation, transmission and distribution"
EG4056125887,Horus Plastics SAE,S,Other service activities,S9499,0,2024,10000,3875554.0,medium,Activities of other membership organizations n.e.c.
EG9846734896,Nile Chem LLC,M,"Professional, scientific and technical activities",M7490,0,2022,10000,4325332.0,medium,"Other professional, scientific and technical activities n.e.c."
EG8865049979,Giza Steel SAE,E,"Water supply; sewerage, waste management and remediation activities",E3821,1,2010,10000,4798741.0,small,Treatment and disposal of non-hazardous waste
EG2744006455,Horus Tech LLC,S,Other service activities,S9521,0,2023,10000,649587.0,small,Repair of consumer electronics
EG9711883582,Sinai Steel LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4711,0,2019,2027,2903937.0,small,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
EG7235142270,Misr Trading Co.,J,Information and communication,J6311,0,2018,10000,4232010.0,medium,"Data processing, hosting and related activities"
EG5070376323,Cairo Logistics SAE,F,Construction,F4210,1,2019,10000,13662559.0,medium,Construction of roads and railways
EG5313653480,Sinai Agri Ltd.,F,Construction,F4220,1,2017,10000,1155363.0,small,Construction of utility projects
EG2410278786,Pyramid Textiles LLC,C,Manufacturing,C2670,1,2014,10000,1940598.0,small,Manufacture of optical instruments and photographic equipment
EG3474333480,Alex Chem LLC,F,Construction,F4390,1,2010,10000,2208042.0,small,Other specialized construction activities
EG8094565910,Delta Trading SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4530,0,2008,10000,2101150.0,small,Sale of motor vehicle parts and accessories
EG7092463540,Giza Steel Ltd.,A,"Agriculture, forestry and fishing",A0210,1,2021,10000,8432518.0,medium,Silviculture and other forestry activities
EG4381610638,Pyramid Textiles Co.,A,"Agriculture, forestry and fishing",A0322,1,2012,2024,5053613.0,medium,Freshwater aquaculture
EG8731660937,Cairo Trading Co.,A,"Agriculture, forestry and fishing",A0164,1,2020,10000,1450937.0,small,Seed processing for propagation
EG6786574643,Nile Trading Co.,N,Administrative and support service activities,N7740,0,2006,2017,818361.0,small,"Leasing of intellectual property and similar products, except copyrighted works"
EG1508194219,Lotus Services LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4510,0,2007,10000,3001882.0,medium,Sale of motor vehicles
EG4957001685,Giza Steel SAE,Q,Human health and social work activities,Q8690,0,2020,10000,894189.0,small,Other human health activities
EG8367799606,Pyramid Services LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4730,0,2009,10000,2839208.0,small,Retail sale of automotive fuel in specialized stores
EG7771037885,Horus Trading SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4742,0,2020,10000,2182700.0,small,Retail sale of audio and video equipment in specialized stores
EG1633262971,Sinai Trading Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4610,0,2009,10000,3696292.0,medium,Wholesale on a fee or contract basis
EG9796294064,Horus Trading Co.,L,Real estate activities,L6820,0,2007,10000,2132686.0,small,Real estate activities on a fee or contract basis
EG8948775685,Alex Tech LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4761,0,2009,10000,4332017.0,medium,"Retail sale of books, newspapers and stationary in specialized stores"
EG3046022929,Delta Agri SAE,M,"Professional, scientific and technical activities",M7220,0,2011,10000,3094579.0,medium,Research and experimental development on social sciences and humanities
EG8267697777,Alex Trading Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4789,0,2010,10000,996123.0,small,Retail sale via stalls and markets of other goods
EG5706478458,Lotus Agri LLC,C,Manufacturing,C2211,1,2008,10000,4260088.0,small,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
EG8707558469,Sinai Logistics LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4772,0,2009,10000,286269.0,small,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
EG7939508541,Nile Trading Co.,A,"Agriculture, forestry and fishing",A0113,1,2018,10000,1106818.0,small,"Growing of vegetables and melons, roots and tubers"
EG7477884985,Alex Agri Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4764,0,2014,10000,2834792.0,small,Retail sale of games and toys in specialized stores
EG1199008848,Giza Textiles Co.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4690,0,2011,2019,2388111.0,small,Non-specialized wholesale trade
EG2992665391,Delta Textiles Ltd.,J,Information and communication,J6010,0,2010,10000,2986621.0,small,Radio broadcasting
EG2805420151,Misr Tech SAE,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T9700,0,2018,10000,4064266.0,medium,Activities of households as employers of domestic personnel
EG8389043291,Delta Agri Co.,C,Manufacturing,C2511,1,2016,2018,10282200.0,medium,Manufacture of structural metal products
EG9990751672,Lotus Plastics Ltd.,H,Transportation and storage,H5229,0,2024,10000,2232744.0,small,Other transportation support activities
EG3059075695,Sinai Plastics Ltd.,M,"Professional, scientific and technical activities",M7210,0,2014,10000,2559022.0,small,Research and experimental development on natural sciences and engineering
EG6036690887,Cairo Services SAE,J,Information and communication,J6110,0,2014,10000,257158.0,small,Wired telecommunications activities
EG2983422399,Misr Foods Ltd.,F,Construction,F4322,1,2007,10000,2183117.0,small,"Plumbing, heat and air-conditioning installation"
EG1408896957,Misr Tech Ltd.,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4773,0,2015,10000,177590.0,small,Other retail sale of new goods in specialized stores
EG8706523351,Alex Trading Ltd.,Q,Human health and social work activities,Q8720,0,2012,10000,2596157.0,small,"Residential care activities for mental retardation, mental health and substance abuse"
EG1194792788,Sinai Services SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4663,0,2013,10000,2847891.0,small,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
EG1270696232,Delta Logistics SAE,I,Accommodation and food service activities,I5590,0,2008,10000,4608033.0,medium,Other accommodation
EG6899685702,Sinai Steel SAE,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4721,0,2006,10000,4684025.0,medium,Retail sale of food in specialized stores
EG1230006182,Delta Chem Ltd.,M,"Professional, scientific and technical activities",M7220,0,2015,10000,3840843.0,medium,Research and experimental development on social sciences and humanities
EG2035840854,Sinai Foods LLC,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G4781,0,2012,10000,1753839.0,small,"Retail sale via stalls and markets of food, beverages and tobacco products"
EG9556608510,Sinai Logistics Co.,L,Real estate activities,L6810,0,2013,10000,354646.0,small,Real estate activities with own or leased property
