الرقم_الضريبي,name_ar,isic_section,الفرع_كود,is_industrial,start_year,close_year,رأس_المال_المدفوع_جنيه,فئة_SME_أولية,branches,المجموع_كود,القسم_كود,الفرع,المجموع,القسم,القطاع,اسم_الشركة
862759039,الإسكندرية أغذية ش.ذ.م.م,S,S9602,0,2016,10000,1078083.0,small,5,S96,S9,,,,أنشطة الخدمات الأخرى,الإسكندرية أغذية ش.ذ.م.م
355997472,سيناء زراعة ش.ذ.م.م,D,D3510,1,2024,10000,2369701.0,small,6,D35,D3,,,,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,سيناء زراعة ش.ذ.م.م
530100205,الجيزة خدمات ش.م.م,N,N7990,0,2023,10000,993077.0,small,1,N79,N7,,,,أنشطة الخدمات الإدارية وخدمات الدعم,الجيزة خدمات ش.م.م
750137090,مصر كيماويات ش.م.م,J,J6399,0,2010,10000,4316670.0,medium,3,J63,J6,,,,المعلومات والاتصالات,مصر كيماويات ش.م.م
479996661,الإسكندرية منسوجات ش.م.م,E,E3811,1,2015,10000,985432.0,small,1,E38,E3,,,,إمدادات المياه؛ الصرف الصحي وإدارة النفايات ومعالجتها,الإسكندرية منسوجات ش.م.م
375674758,القاهرة زراعة ش.م.م,C,C3092,1,2021,10000,2801513.0,small,1,C30,C3,,,,الصناعة التحويلية,القاهرة زراعة ش.م.م
645977729,الدلتا كيماويات محدودة,S,S9522,0,2008,10000,3008380.0,medium,1,S95,S9,,,,أنشطة الخدمات الأخرى,الدلتا كيماويات محدودة
428684611,حورس بلاستيك ش.م.م,G,G4751,0,2015,10000,1382402.0,small,6,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,حورس بلاستيك ش.م.م
535890496,النيل تقنية ش.ذ.م.م,G,G4774,0,2010,10000,2878827.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل تقنية ش.ذ.م.م
823879996,القاهرة لوجستيات محدودة,I,I5621,0,2023,10000,3786209.0,medium,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,القاهرة لوجستيات محدودة
371141825,القاهرة بلاستيك ش.م.م,G,G4659,0,2020,2034,803979.0,small,7,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,القاهرة بلاستيك ش.م.م
106005101,سيناء صلب ش.م.م,A,A0230,1,2006,10000,11697910.0,medium,4,A02,A0,,,,الزراعة والحراجة وصيد الأسماك,سيناء صلب ش.م.م
677121043,مصر لوجستيات محدودة,F,F4290,1,2010,2020,7529467.0,medium,1,F42,F4,,,,التشييد والبناء,مصر لوجستيات محدودة
675369126,الدلتا خدمات محدودة,G,G4540,0,2012,2013,1905533.0,small,1,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الدلتا خدمات محدودة
165295521,الأهرام بلاستيك ش.ذ.م.م,K,K6420,0,2017,10000,3267304.0,medium,1,K64,K6,,,,الأنشطة المالية وأنشطة التأمين,الأهرام بلاستيك ش.ذ.م.م
106397016,الإسكندرية زراعة ذ.م.م,H,H5223,0,2015,10000,4087322.0,medium,1,H52,H5,,,,النقل والتخزين,الإسكندرية زراعة ذ.م.م
949578757,النيل أغذية ش.ذ.م.م,G,G4690,0,2024,2036,567918.0,small,1,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل أغذية ش.ذ.م.م
721798639,النيل صلب محدودة,C,C2818,1,2023,10000,14573798.0,medium,1,C28,C2,,,,الصناعة التحويلية,النيل صلب محدودة
162846268,الجيزة أغذية ش.ذ.م.م,L,L6810,0,2020,10000,552830.0,small,1,L68,L6,,,,الأنشطة العقارية,الجيزة أغذية ش.ذ.م.م
265925890,مصر زراعة ذ.م.م,C,C1520,1,2021,10000,2550941.0,small,1,C15,C1,,,,الصناعة التحويلية,مصر زراعة ذ.م.م
260614298,القاهرة كيماويات محدودة,J,J6020,0,2008,10000,1433719.0,small,6,J60,J6,,,,المعلومات والاتصالات,القاهرة كيماويات محدودة
571825655,الجيزة لوجستيات ذ.م.م,G,G4520,0,2018,10000,3292565.0,medium,1,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الجيزة لوجستيات ذ.م.م
940554627,الدلتا زراعة ذ.م.م,G,G4730,0,2023,10000,3904830.0,medium,6,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الدلتا زراعة ذ.م.م
712713211,سيناء كيماويات ش.م.م,G,G4751,0,2018,10000,4863912.0,medium,4,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,سيناء كيماويات ش.م.م
810795438,اللوتس تقنية ذ.م.م,C,C2023,1,2008,10000,3700272.0,small,5,C20,C2,,,,الصناعة التحويلية,اللوتس تقنية ذ.م.م
337353735,حورس لوجستيات محدودة,C,C1702,1,2007,10000,3440737.0,small,1,C17,C1,,,,الصناعة التحويلية,حورس لوجستيات محدودة
616167577,الدلتا زراعة ش.م.م,I,I5621,0,2020,10000,3434618.0,medium,3,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,الدلتا زراعة ش.م.م
809502647,الإسكندرية منسوجات ذ.م.م,F,F4312,1,2019,10000,6532874.0,medium,1,F43,F4,,,,التشييد والبناء,الإسكندرية منسوجات ذ.م.م
664052795,مصر كيماويات ش.ذ.م.م,A,A0142,1,2023,2028,1610807.0,small,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,مصر كيماويات ش.ذ.م.م
489711310,الدلتا تقنية محدودة,C,C2815,1,2005,10000,2716410.0,small,1,C28,C2,,,,الصناعة التحويلية,الدلتا تقنية محدودة
187332170,اللوتس صلب ش.م.م,Q,Q8790,0,2024,10000,1491362.0,small,5,Q87,Q8,,,,الصحة البشرية والعمل الاجتماعي,اللوتس صلب ش.م.م
853962771,الإسكندرية منسوجات ش.م.م,J,J5920,0,2009,10000,1056217.0,small,1,J59,J5,,,,المعلومات والاتصالات,الإسكندرية منسوجات ش.م.م
509037767,النيل منسوجات ذ.م.م,G,G4773,0,2015,10000,4169265.0,medium,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل منسوجات ذ.م.م
355981422,الجيزة خدمات ش.م.م,G,G4620,0,2021,10000,3463422.0,medium,4,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الجيزة خدمات ش.م.م
889636135,الدلتا خدمات ش.م.م,M,M6920,0,2013,10000,3725575.0,medium,1,M69,M6,,,,الأنشطة المهنية والعلمية والتقنية,الدلتا خدمات ش.م.م
999126873,الإسكندرية كيماويات ش.ذ.م.م,F,F4330,1,2007,10000,1156507.0,small,1,F43,F4,,,,التشييد والبناء,الإسكندرية كيماويات ش.ذ.م.م
437266730,سيناء تقنية ذ.م.م,H,H5222,0,2008,10000,4146423.0,medium,4,H52,H5,,,,النقل والتخزين,سيناء تقنية ذ.م.م
840456400,الإسكندرية تجارة ذ.م.م,A,A0125,1,2011,10000,166026.0,small,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,الإسكندرية تجارة ذ.م.م
375003782,حورس صلب محدودة,I,I5621,0,2011,10000,475346.0,small,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,حورس صلب محدودة
260718149,الأهرام خدمات محدودة,S,S9524,0,2018,10000,3621114.0,medium,5,S95,S9,,,,أنشطة الخدمات الأخرى,الأهرام خدمات محدودة
642515991,الدلتا منسوجات ش.ذ.م.م,J,J5811,0,2009,10000,4163936.0,medium,1,J58,J5,,,,المعلومات والاتصالات,الدلتا منسوجات ش.ذ.م.م
705410334,مصر بلاستيك محدودة,C,C3012,1,2013,10000,694371.0,small,1,C30,C3,,,,الصناعة التحويلية,مصر بلاستيك محدودة
338607458,اللوتس خدمات ش.ذ.م.م,H,H5022,0,2023,10000,2664960.0,small,7,H50,H5,,,,النقل والتخزين,اللوتس خدمات ش.ذ.م.م
287228427,الأهرام منسوجات محدودة,G,G4690,0,2006,10000,1967692.0,small,3,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الأهرام منسوجات محدودة
400137475,القاهرة صلب ذ.م.م,Q,Q8610,0,2016,10000,1640516.0,small,1,Q86,Q8,,,,الصحة البشرية والعمل الاجتماعي,القاهرة صلب ذ.م.م
567194747,الأهرام منسوجات محدودة,A,A0146,1,2023,10000,1624677.0,small,6,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,الأهرام منسوجات محدودة
730537123,الجيزة كيماويات ش.م.م,A,A0150,1,2005,10000,9550679.0,medium,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,الجيزة كيماويات ش.م.م
395885885,النيل تجارة ش.ذ.م.م,C,C2733,1,2014,10000,11371335.0,medium,5,C27,C2,,,,الصناعة التحويلية,النيل تجارة ش.ذ.م.م
489165638,النيل خدمات محدودة,G,G4719,0,2024,10000,2745759.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل خدمات محدودة
407072256,سيناء خدمات ش.م.م,N,N8129,0,2019,10000,639311.0,small,1,N81,N8,,,,أنشطة الخدمات الإدارية وخدمات الدعم,سيناء خدمات ش.م.م
291764178,اللوتس خدمات ذ.م.م,G,G4711,0,2011,10000,2370992.0,small,3,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,اللوتس خدمات ذ.م.م
626633720,مصر خدمات ذ.م.م,I,I5629,0,2014,10000,3184755.0,medium,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,مصر خدمات ذ.م.م
176863495,الجيزة زراعة ذ.م.م,A,A0125,1,2007,10000,1540295.0,small,7,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,الجيزة زراعة ذ.م.م
253824593,حورس خدمات ش.ذ.م.م,C,C1709,1,2022,10000,8361453.0,medium,1,C17,C1,,,,الصناعة التحويلية,حورس خدمات ش.ذ.م.م
569450945,سيناء صلب محدودة,G,G4520,0,2013,10000,1718843.0,small,1,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,سيناء صلب محدودة
774184000,القاهرة منسوجات ش.ذ.م.م,H,H5310,0,2010,10000,4046032.0,medium,1,H53,H5,,,,النقل والتخزين,القاهرة منسوجات ش.ذ.م.م
655813871,القاهرة لوجستيات محدودة,K,K6419,0,2006,10000,4231970.0,medium,1,K64,K6,,,,الأنشطة المالية وأنشطة التأمين,القاهرة لوجستيات محدودة
783449012,الدلتا لوجستيات ش.ذ.م.م,G,G4773,0,2010,10000,1208964.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الدلتا لوجستيات ش.ذ.م.م
113155071,القاهرة زراعة ش.ذ.م.م,F,F4329,1,2018,10000,2859434.0,small,1,F43,F4,,,,التشييد والبناء,القاهرة زراعة ش.ذ.م.م
966797254,النيل خدمات ش.م.م,C,C1101,1,2019,10000,4906975.0,small,1,C11,C1,,,,الصناعة التحويلية,النيل خدمات ش.م.م
291386457,الأهرام تقنية ش.ذ.م.م,G,G4761,0,2014,10000,2424800.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الأهرام تقنية ش.ذ.م.م
327976947,الدلتا صلب ش.ذ.م.م,F,F4312,1,2022,10000,11420922.0,medium,1,F43,F4,,,,التشييد والبناء,الدلتا صلب ش.ذ.م.م
557889810,مصر منسوجات ذ.م.م,K,K6419,0,2020,10000,792435.0,small,8,K64,K6,,,,الأنشطة المالية وأنشطة التأمين,مصر منسوجات ذ.م.م
512093027,مصر تقنية ذ.م.م,P,P8541,0,2010,10000,1006411.0,small,1,P85,P8,,,,التعليم,مصر تقنية ذ.م.م
276725696,القاهرة خدمات ذ.م.م,M,M7420,0,2017,10000,4883978.0,medium,6,M74,M7,,,,الأنشطة المهنية والعلمية والتقنية,القاهرة خدمات ذ.م.م
115995220,الأهرام زراعة ش.ذ.م.م,C,C1104,1,2015,10000,14583065.0,medium,3,C11,C1,,,,الصناعة التحويلية,الأهرام زراعة ش.ذ.م.م
940269761,النيل بلاستيك ش.م.م,L,L6810,0,2005,10000,4470841.0,medium,1,L68,L6,,,,الأنشطة العقارية,النيل بلاستيك ش.م.م
105729383,القاهرة كيماويات ذ.م.م,A,A0230,1,2024,10000,3172449.0,small,1,A02,A0,,,,الزراعة والحراجة وصيد الأسماك,القاهرة كيماويات ذ.م.م
258283436,حورس أغذية محدودة,C,C3314,1,2014,10000,4207010.0,small,1,C33,C3,,,,الصناعة التحويلية,حورس أغذية محدودة
981767144,الأهرام منسوجات ش.ذ.م.م,J,J6312,0,2016,10000,2810235.0,small,2,J63,J6,,,,المعلومات والاتصالات,الأهرام منسوجات ش.ذ.م.م
645085231,الدلتا تقنية ش.ذ.م.م,G,G4661,0,2017,10000,4241729.0,medium,1,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الدلتا تقنية ش.ذ.م.م
394470046,الدلتا أغذية ذ.م.م,M,M6920,0,2017,10000,167309.0,small,7,M69,M6,,,,الأنشطة المهنية والعلمية والتقنية,الدلتا أغذية ذ.م.م
313010738,الأهرام تقنية ش.ذ.م.م,J,J6110,0,2006,10000,2318930.0,small,1,J61,J6,,,,المعلومات والاتصالات,الأهرام تقنية ش.ذ.م.م
765744943,النيل تجارة ش.م.م,I,I5621,0,2024,10000,1879637.0,small,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,النيل تجارة ش.م.م
422372752,النيل صلب ش.ذ.م.م,H,H5222,0,2014,10000,4877343.0,medium,1,H52,H5,,,,النقل والتخزين,النيل صلب ش.ذ.م.م
516612948,حورس منسوجات ش.ذ.م.م,Q,Q8690,0,2010,2021,4225526.0,medium,1,Q86,Q8,,,,الصحة البشرية والعمل الاجتماعي,حورس منسوجات ش.ذ.م.م
143619788,النيل خدمات ش.ذ.م.م,M,M7420,0,2015,2019,199680.0,small,1,M74,M7,,,,الأنشطة المهنية والعلمية والتقنية,النيل خدمات ش.ذ.م.م
115801698,القاهرة منسوجات ش.م.م,A,A0125,1,2017,10000,9479509.0,medium,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,القاهرة منسوجات ش.م.م
396582786,القاهرة كيماويات ذ.م.م,S,S9521,0,2022,10000,823596.0,small,1,S95,S9,,,,أنشطة الخدمات الأخرى,القاهرة كيماويات ذ.م.م
725762971,حورس زراعة محدودة,G,G4520,0,2010,10000,1879796.0,small,1,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,حورس زراعة محدودة
876151640,الدلتا بلاستيك ذ.م.م,F,F4322,1,2011,10000,14816071.0,medium,1,F43,F4,,,,التشييد والبناء,الدلتا بلاستيك ذ.م.م
345349903,مصر تجارة ش.م.م,N,N7912,0,2011,10000,534733.0,small,9,N79,N7,,,,أنشطة الخدمات الإدارية وخدمات الدعم,مصر تجارة ش.م.م
847249885,مصر خدمات ش.ذ.م.م,Q,Q8790,0,2008,10000,4518499.0,medium,1,Q87,Q8,,,,الصحة البشرية والعمل الاجتماعي,مصر خدمات ش.ذ.م.م
434488411,الدلتا بلاستيك ش.ذ.م.م,L,L6810,0,2010,10000,782891.0,small,1,L68,L6,,,,الأنشطة العقارية,الدلتا بلاستيك ش.ذ.م.م
352148331,الإسكندرية تقنية ذ.م.م,J,J5819,0,2020,10000,4604552.0,medium,1,J58,J5,,,,المعلومات والاتصالات,الإسكندرية تقنية ذ.م.م
725511121,القاهرة لوجستيات ذ.م.م,A,A0230,1,2006,10000,1887640.0,small,1,A02,A0,,,,الزراعة والحراجة وصيد الأسماك,القاهرة لوجستيات ذ.م.م
253076143,اللوتس تجارة ذ.م.م,F,F4390,1,2014,10000,4513720.0,small,1,F43,F4,,,,التشييد والبناء,اللوتس تجارة ذ.م.م
797054222,حورس زراعة ش.ذ.م.م,M,M7010,0,2008,10000,2107767.0,small,1,M70,M7,,,,الأنشطة المهنية والعلمية والتقنية,حورس زراعة ش.ذ.م.م
647484453,الأهرام خدمات ذ.م.م,T,T9820,0,2015,2016,2529810.0,small,2,T98,T9,,,,أنشطة الأسر المعيشية كأصحاب عمل؛ أنشطة إنتاج السلع والخدمات للاستخدام الخاص,الأهرام خدمات ذ.م.م
532684935,سيناء تقنية ذ.م.م,F,F4210,1,2006,10000,13604861.0,medium,6,F42,F4,,,,التشييد والبناء,سيناء تقنية ذ.م.م
613503125,الإسكندرية كيماويات ذ.م.م,K,K6621,0,2015,10000,1115481.0,small,6,K66,K6,,,,الأنشطة المالية وأنشطة التأمين,الإسكندرية كيماويات ذ.م.م
193400035,الإسكندرية أغذية ذ.م.م,C,C1074,1,2011,10000,8572951.0,medium,1,C10,C1,,,,الصناعة التحويلية,الإسكندرية أغذية ذ.م.م
651335301,حورس خدمات ش.م.م,K,K6420,0,2021,10000,146778.0,small,1,K64,K6,,,,الأنشطة المالية وأنشطة التأمين,حورس خدمات ش.م.م
957808843,الأهرام منسوجات ش.ذ.م.م,G,G4711,0,2013,10000,2573109.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الأهرام منسوجات ش.ذ.م.م
984305294,الأهرام أغذية ش.م.م,C,C2731,1,2018,10000,10551455.0,medium,1,C27,C2,,,,الصناعة التحويلية,الأهرام أغذية ش.م.م
654002595,النيل منسوجات محدودة,C,C2610,1,2010,10000,14360073.0,medium,3,C26,C2,,,,الصناعة التحويلية,النيل منسوجات محدودة
706145344,سيناء بلاستيك ش.م.م,G,G4663,0,2010,10000,570840.0,small,1,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,سيناء بلاستيك ش.م.م
849907414,الدلتا تجارة ذ.م.م,G,G4659,0,2013,10000,3528417.0,medium,3,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الدلتا تجارة ذ.م.م
425140453,سيناء بلاستيك ش.م.م,J,J5819,0,2014,10000,52991.0,small,6,J58,J5,,,,المعلومات والاتصالات,سيناء بلاستيك ش.م.م
114074155,القاهرة زراعة محدودة,G,G4663,0,2016,10000,4941042.0,medium,1,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,القاهرة زراعة محدودة
910093293,الجيزة زراعة ذ.م.م,H,H5210,0,2014,10000,3689919.0,medium,1,H52,H5,,,,النقل والتخزين,الجيزة زراعة ذ.م.م
752796908,النيل أغذية ش.ذ.م.م,G,G4520,0,2023,10000,2870005.0,small,1,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل أغذية ش.ذ.م.م
834531471,سيناء تقنية ش.ذ.م.م,L,L6820,0,2024,10000,1402312.0,small,1,L68,L6,,,,الأنشطة العقارية,سيناء تقنية ش.ذ.م.م
634672116,سيناء زراعة ش.ذ.م.م,A,A0311,1,2010,10000,2775109.0,small,4,A03,A0,,,,الزراعة والحراجة وصيد الأسماك,سيناء زراعة ش.ذ.م.م
854267458,الإسكندرية تقنية محدودة,H,H4930,0,2011,10000,3716080.0,medium,1,H49,H4,,,,النقل والتخزين,الإسكندرية تقنية محدودة
933910495,مصر صلب ش.ذ.م.م,G,G4782,0,2021,2035,1593292.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,مصر صلب ش.ذ.م.م
814333685,سيناء تقنية ذ.م.م,B,B0610,1,2015,10000,1029848.0,small,1,B06,B0,,,,التعدين واستغلال المحاجر,سيناء تقنية ذ.م.م
289951416,الإسكندرية بلاستيك ش.م.م,L,L6820,0,2016,10000,2613958.0,small,1,L68,L6,,,,الأنشطة العقارية,الإسكندرية بلاستيك ش.م.م
822984322,القاهرة تقنية ش.ذ.م.م,H,H5221,0,2022,10000,4983372.0,medium,1,H52,H5,,,,النقل والتخزين,القاهرة تقنية ش.ذ.م.م
461027803,الدلتا كيماويات ش.ذ.م.م,S,S9492,0,2020,10000,3447049.0,medium,1,S94,S9,,,,أنشطة الخدمات الأخرى,الدلتا كيماويات ش.ذ.م.م
248327589,النيل زراعة ش.م.م,C,C3040,1,2008,10000,1898391.0,small,1,C30,C3,,,,الصناعة التحويلية,النيل زراعة ش.م.م
440427377,النيل كيماويات ش.م.م,G,G4723,0,2014,10000,2916668.0,small,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل كيماويات ش.م.م
609819966,الأهرام خدمات ذ.م.م,N,N8110,0,2020,10000,2190844.0,small,1,N81,N8,,,,أنشطة الخدمات الإدارية وخدمات الدعم,الأهرام خدمات ذ.م.م
849313130,اللوتس بلاستيك محدودة,R,R9312,0,2014,10000,289599.0,small,9,R93,R9,,,,الفنون والترفيه والتسلية,اللوتس بلاستيك محدودة
970111555,الأهرام بلاستيك محدودة,J,J5819,0,2008,10000,3140640.0,medium,1,J58,J5,,,,المعلومات والاتصالات,الأهرام بلاستيك محدودة
235990329,النيل بلاستيك محدودة,G,G4764,0,2015,10000,3428359.0,medium,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل بلاستيك محدودة
782420921,مصر تقنية ش.ذ.م.م,K,K6511,0,2007,10000,4013722.0,medium,1,K65,K6,,,,الأنشطة المالية وأنشطة التأمين,مصر تقنية ش.ذ.م.م
146751694,الدلتا تجارة ش.م.م,G,G4530,0,2005,10000,2597575.0,small,1,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الدلتا تجارة ش.م.م
631024711,سيناء زراعة محدودة,G,G4520,0,2008,10000,843873.0,small,2,G45,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,سيناء زراعة محدودة
310715097,الأهرام لوجستيات ش.ذ.م.م,I,I5610,0,2008,10000,238136.0,small,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,الأهرام لوجستيات ش.ذ.م.م
908244188,النيل كيماويات ذ.م.م,Q,Q8890,0,2006,10000,3661708.0,medium,9,Q88,Q8,,,,الصحة البشرية والعمل الاجتماعي,النيل كيماويات ذ.م.م
514792397,النيل أغذية ذ.م.م,A,A0149,1,2014,10000,1163472.0,small,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,النيل أغذية ذ.م.م
734251510,القاهرة بلاستيك ش.ذ.م.م,J,J6120,0,2019,10000,575806.0,small,1,J61,J6,,,,المعلومات والاتصالات,القاهرة بلاستيك ش.ذ.م.م
516850794,الإسكندرية لوجستيات ش.م.م,Q,Q8710,0,2006,10000,1404987.0,small,1,Q87,Q8,,,,الصحة البشرية والعمل الاجتماعي,الإسكندرية لوجستيات ش.م.م
324199672,الجيزة صلب ذ.م.م,G,G4662,0,2008,10000,823388.0,small,1,G46,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,الجيزة صلب ذ.م.م
660609661,مصر بلاستيك ش.ذ.م.م,F,F4290,1,2006,10000,6550908.0,medium,1,F42,F4,,,,التشييد والبناء,مصر بلاستيك ش.ذ.م.م
129470376,حورس خدمات محدودة,G,G4772,0,2017,10000,4108927.0,medium,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,حورس خدمات محدودة
204039108,الجيزة زراعة ذ.م.م,A,A0150,1,2018,10000,1033890.0,small,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,الجيزة زراعة ذ.م.م
664686346,مصر تقنية ش.م.م,M,M7320,0,2019,10000,56310.0,small,4,M73,M7,,,,الأنشطة المهنية والعلمية والتقنية,مصر تقنية ش.م.م
225111828,القاهرة تجارة ذ.م.م,G,G4752,0,2023,10000,3644580.0,medium,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,القاهرة تجارة ذ.م.م
873590006,القاهرة لوجستيات ش.ذ.م.م,I,I5629,0,2013,10000,2836564.0,small,1,I56,I5,,,,أنشطة الإقامة وخدمات الطعام,القاهرة لوجستيات ش.ذ.م.م
664486706,النيل لوجستيات ذ.م.م,L,L6810,0,2010,10000,579874.0,small,1,L68,L6,,,,الأنشطة العقارية,النيل لوجستيات ذ.م.م
298431530,الدلتا صلب ش.م.م,A,A0122,1,2009,10000,286509.0,small,1,A01,A0,,,,الزراعة والحراجة وصيد الأسماك,الدلتا صلب ش.م.م
963809168,الدلتا بلاستيك ش.ذ.م.م,C,C2670,1,2020,10000,13402534.0,medium,1,C26,C2,,,,الصناعة التحويلية,الدلتا بلاستيك ش.ذ.م.م
238319691,النيل صلب ذ.م.م,G,G4764,0,2024,10000,3812847.0,medium,1,G47,G4,,,,تجارة الجملة والتجزئة؛ إصلاح المركبات ذات المحركات والدراجات النارية,النيل صلب ذ.م.م
